gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK4_targ_7852,1667.0,789.0,528.0,947.0,553.0,647.0,259.0,433.0,1883.0,862.0,1153.0,634.0,379.0,2292.0,2297.0,1859.0,539.0,24.0,185.0,524.0,753.0,84.0,11.0,109.0,4827.0
gRNA_CDK4_targ_7853,253.0,921.0,405.0,406.0,101.0,77.0,411.0,153.0,741.0,320.0,257.0,200.0,192.0,518.0,1216.0,390.0,88.0,10.0,421.0,185.0,10.0,2.0,9.0,15.0,2372.0
gRNA_CDK4_targ_7854,1214.0,1446.0,873.0,1657.0,523.0,990.0,924.0,511.0,4070.0,1726.0,1155.0,1555.0,1610.0,2136.0,2429.0,721.0,1999.0,34.0,186.0,2058.0,3008.0,311.0,15.0,954.0,5163.0
gRNA_CDK4_targ_7855,2318.0,3006.0,2152.0,2606.0,856.0,6689.0,3022.0,5341.0,13440.0,7722.0,12224.0,8900.0,13044.0,8460.0,11292.0,5617.0,8446.0,189.0,449.0,6896.0,8398.0,721.0,206.0,8030.0,8701.0
gRNA_CDK4_targ_7856,3237.0,3100.0,2423.0,2638.0,1947.0,3843.0,2655.0,3752.0,30403.0,7159.0,13838.0,8935.0,8791.0,6586.0,12102.0,8085.0,8679.0,157.0,1593.0,3721.0,6155.0,529.0,148.0,4892.0,7208.0
gRNA_CDK4_targ_7857,2791.0,2118.0,1762.0,3531.0,1023.0,4381.0,1791.0,2806.0,16336.0,5277.0,5259.0,6227.0,2843.0,4492.0,4565.0,2349.0,4442.0,89.0,1349.0,5828.0,6072.0,513.0,56.0,4159.0,4965.0
gRNA_CDK4_targ_7858,2821.0,4281.0,1449.0,3577.0,675.0,4706.0,2760.0,1100.0,6849.0,6766.0,9054.0,4416.0,4472.0,8059.0,2330.0,5847.0,5868.0,112.0,825.0,1400.0,6779.0,547.0,233.0,4851.0,2777.0
gRNA_CDK4_targ_7859,2230.0,4241.0,3765.0,5767.0,1285.0,6449.0,10121.0,4109.0,39308.0,11213.0,16683.0,14917.0,9690.0,9804.0,6734.0,15222.0,17341.0,339.0,7384.0,10432.0,20727.0,2146.0,295.0,1609.0,5138.0
gRNA_CDK4_targ_7860,3552.0,3070.0,2210.0,3812.0,664.0,5947.0,4526.0,5118.0,23071.0,8642.0,19753.0,15282.0,12450.0,11164.0,9899.0,14220.0,17720.0,298.0,4770.0,7455.0,6791.0,723.0,111.0,4849.0,6089.0
gRNA_CDK4_targ_7861,1910.0,595.0,829.0,880.0,524.0,59.0,340.0,726.0,2205.0,779.0,1080.0,726.0,2849.0,2136.0,1733.0,1427.0,3214.0,40.0,697.0,641.0,4226.0,358.0,10.0,422.0,3437.0
