gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK9_targ_1277,12218.0,10711.0,6272.0,27337.0,8777.0,5110.0,8237.0,9297.0,6200.0,5576.0,30024.0,3805.0,8356.0,7411.0,2360.0,20306.0,8757.0,27070.0,3489.0,14891.0,6026.0,10230.0,739.0,12288.0,40826.0,9927.0,645.0,9743.0,7246.0,11246.0,11423.0
gRNA_CDK9_targ_1278,11797.0,12109.0,9044.0,59925.0,8861.0,35569.0,10132.0,9975.0,7660.0,9393.0,15825.0,3108.0,11521.0,10468.0,2776.0,19012.0,12104.0,24762.0,3187.0,24664.0,9506.0,15784.0,653.0,24643.0,4910.0,10885.0,970.0,27580.0,10392.0,15211.0,9308.0
gRNA_CDK9_targ_1279,33239.0,32561.0,23339.0,91147.0,28602.0,55753.0,26580.0,50843.0,18261.0,10386.0,46698.0,7910.0,26658.0,25930.0,6931.0,92562.0,32057.0,73678.0,12407.0,41668.0,19993.0,36738.0,2662.0,41938.0,54175.0,29061.0,3664.0,49327.0,22306.0,35506.0,17892.0
gRNA_CDK9_targ_1280,24071.0,17258.0,13771.0,56852.0,18668.0,37676.0,15629.0,29413.0,7737.0,6259.0,133056.0,15541.0,16249.0,15051.0,5202.0,45868.0,15098.0,46173.0,6415.0,43943.0,12025.0,21765.0,2161.0,38779.0,41955.0,15743.0,2257.0,17826.0,12246.0,18122.0,15491.0
gRNA_CDK9_targ_1281,8927.0,7210.0,6486.0,13107.0,7762.0,9634.0,6712.0,6947.0,8111.0,4260.0,13325.0,2277.0,9729.0,9150.0,2217.0,53695.0,4594.0,19088.0,2774.0,3645.0,4890.0,7488.0,375.0,6971.0,4805.0,7710.0,647.0,8902.0,8959.0,11353.0,7362.0
gRNA_CDK9_targ_1282,16492.0,13228.0,10945.0,50847.0,13729.0,43643.0,8857.0,12192.0,7927.0,7311.0,36210.0,5280.0,15840.0,14330.0,3810.0,40657.0,7935.0,14288.0,3186.0,26526.0,9632.0,15347.0,1252.0,18545.0,36139.0,12405.0,1860.0,14727.0,11463.0,14111.0,11082.0
gRNA_CDK9_targ_1283,13125.0,16735.0,11450.0,20823.0,13645.0,27055.0,18711.0,22297.0,8526.0,13786.0,51796.0,7647.0,18463.0,16526.0,3115.0,27285.0,18996.0,49530.0,6825.0,55598.0,7492.0,13550.0,1497.0,21563.0,15208.0,11323.0,1271.0,15190.0,10976.0,16241.0,13944.0
gRNA_CDK9_targ_1284,22214.0,14970.0,11931.0,12957.0,12443.0,16570.0,11668.0,14597.0,3989.0,6481.0,10515.0,2665.0,14257.0,13579.0,2630.0,31684.0,3271.0,19288.0,3355.0,62281.0,6359.0,13153.0,660.0,12015.0,10500.0,13851.0,851.0,19035.0,11524.0,17958.0,12817.0
gRNA_CDK9_targ_1285,21306.0,14564.0,13690.0,37589.0,13406.0,30087.0,8652.0,8416.0,8044.0,4440.0,7792.0,2043.0,12220.0,11103.0,2740.0,43284.0,5798.0,23004.0,3402.0,17029.0,6658.0,11591.0,586.0,28035.0,2865.0,9376.0,1009.0,19272.0,9364.0,13404.0,15466.0
gRNA_CDK9_targ_1286,18049.0,14220.0,13876.0,28840.0,13206.0,25585.0,10991.0,12303.0,6583.0,7159.0,12356.0,2712.0,13165.0,12405.0,3571.0,54606.0,9569.0,39222.0,5926.0,25712.0,7901.0,14225.0,667.0,25783.0,10928.0,9764.0,493.0,14965.0,13569.0,22815.0,10608.0
gRNA_CDK9_targ_1287,26443.0,28726.0,19414.0,45547.0,18979.0,51576.0,18354.0,23012.0,11743.0,20313.0,34193.0,5316.0,20702.0,18872.0,4848.0,25075.0,11644.0,58249.0,8860.0,43840.0,11988.0,21146.0,2041.0,41159.0,26317.0,19371.0,1099.0,21262.0,14000.0,19326.0,14508.0
gRNA_CDK9_targ_1288,23126.0,21967.0,22575.0,31085.0,30490.0,35643.0,26961.0,22124.0,12091.0,18094.0,42734.0,6405.0,25554.0,23931.0,5218.0,21980.0,17977.0,58032.0,8518.0,15594.0,18919.0,32992.0,3168.0,32476.0,13107.0,21963.0,1312.0,27084.0,25198.0,25488.0,18241.0
gRNA_CDK9_targ_1289,27901.0,30355.0,26991.0,29556.0,25605.0,39944.0,28917.0,22659.0,13122.0,22994.0,32202.0,6047.0,34320.0,32704.0,5572.0,31701.0,11238.0,33314.0,6376.0,17794.0,19452.0,37608.0,1317.0,22709.0,19188.0,29274.0,6879.0,17962.0,31198.0,33665.0,14722.0
gRNA_CDK9_targ_1290,23645.0,34289.0,27559.0,25756.0,13249.0,26149.0,12694.0,12913.0,5575.0,14940.0,8677.0,2290.0,13697.0,12335.0,3585.0,8275.0,7261.0,50308.0,7217.0,5909.0,10928.0,17176.0,1043.0,22246.0,12377.0,12546.0,526.0,24614.0,16273.0,19798.0,19604.0
gRNA_CDK9_targ_1291,27800.0,21784.0,17110.0,25785.0,12109.0,34198.0,8885.0,11096.0,8310.0,10704.0,7527.0,2340.0,14101.0,12635.0,3050.0,18084.0,12594.0,23550.0,3364.0,4004.0,8702.0,15569.0,1291.0,19938.0,19754.0,9648.0,740.0,5134.0,8996.0,15353.0,20870.0
gRNA_CDK9_targ_1292,9510.0,15411.0,10136.0,23165.0,7263.0,24803.0,8560.0,12121.0,2510.0,4928.0,15807.0,2396.0,5473.0,5096.0,1735.0,20433.0,18628.0,10638.0,1807.0,1779.0,4295.0,7830.0,349.0,3725.0,4004.0,4984.0,713.0,6089.0,7157.0,10749.0,12500.0
gRNA_CDK9_targ_1293,6163.0,10787.0,7302.0,41535.0,7025.0,18567.0,6373.0,7020.0,4601.0,7354.0,6723.0,1655.0,6854.0,6294.0,2336.0,30251.0,7662.0,8706.0,1772.0,33281.0,7708.0,13064.0,587.0,30835.0,20511.0,9271.0,1041.0,8628.0,6383.0,12076.0,11438.0
gRNA_CDK9_targ_1294,14166.0,13498.0,10444.0,16224.0,7864.0,26164.0,8015.0,10564.0,5198.0,9728.0,11733.0,2615.0,11790.0,10514.0,2337.0,13542.0,902.0,39112.0,4721.0,11835.0,6511.0,11648.0,1082.0,12121.0,3831.0,8161.0,428.0,20728.0,7806.0,12432.0,11842.0
gRNA_CDK9_targ_1295,20777.0,16684.0,16105.0,16796.0,12931.0,23238.0,22063.0,30309.0,7994.0,9611.0,16498.0,3991.0,17165.0,16185.0,3149.0,24538.0,16971.0,20490.0,3279.0,6556.0,12242.0,21540.0,1728.0,1820.0,21560.0,15082.0,2808.0,21856.0,14625.0,23250.0,19876.0
gRNA_CDK9_targ_1296,16475.0,18198.0,14247.0,37478.0,14587.0,25713.0,17565.0,24796.0,15814.0,17870.0,42986.0,6866.0,18549.0,16774.0,4833.0,54482.0,16400.0,63149.0,8120.0,11779.0,13872.0,23716.0,2762.0,47726.0,16698.0,15715.0,2502.0,38122.0,15934.0,24940.0,20947.0
gRNA_CDK9_targ_1297,9533.0,10344.0,9404.0,14717.0,7153.0,24040.0,8512.0,9958.0,3438.0,7224.0,12218.0,2415.0,7496.0,6751.0,1845.0,4299.0,4373.0,5285.0,1245.0,1155.0,5617.0,9238.0,369.0,14939.0,12099.0,8712.0,1180.0,3508.0,6408.0,10190.0,10660.0
gRNA_CDK9_targ_1298,17742.0,16307.0,13207.0,14385.0,12691.0,29643.0,15545.0,21201.0,12634.0,17785.0,13493.0,2951.0,12613.0,11915.0,3073.0,40641.0,9128.0,41492.0,5317.0,5214.0,11077.0,18220.0,733.0,8423.0,14773.0,15735.0,1301.0,5822.0,11981.0,18661.0,17546.0
gRNA_CDK9_targ_1299,28528.0,17144.0,16751.0,21472.0,23177.0,37937.0,12689.0,15877.0,11283.0,4024.0,11499.0,3078.0,15523.0,13944.0,4526.0,42298.0,1802.0,22371.0,4050.0,19301.0,12659.0,21395.0,1155.0,27463.0,17933.0,22931.0,1528.0,22694.0,17953.0,29343.0,19251.0
gRNA_CDK9_targ_1300,25733.0,27124.0,22354.0,33829.0,25140.0,63016.0,24834.0,41700.0,14381.0,10992.0,24967.0,6071.0,30688.0,26106.0,5910.0,87010.0,18060.0,48895.0,6809.0,5543.0,17308.0,27675.0,2123.0,42347.0,19110.0,21303.0,1512.0,29242.0,19735.0,31556.0,21371.0
