gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK9_targ_1417,1306.0,614.0,12721.0,2227.0,1157.0,556.0,659.0,837.0,461.0,1693.0,4816.0,2812.0,28968.0
gRNA_CDK9_targ_1418,13848.0,12390.0,13724.0,16725.0,10596.0,8861.0,2859.0,17350.0,12127.0,13907.0,9796.0,6324.0,8823.0
gRNA_CDK9_targ_1419,8175.0,4470.0,1878.0,4917.0,8925.0,1438.0,280.0,8146.0,6495.0,3848.0,1668.0,1677.0,7599.0
gRNA_CDK9_targ_1420,25062.0,17347.0,13492.0,18311.0,17361.0,10382.0,2384.0,13550.0,18942.0,17197.0,19673.0,28892.0,11600.0
gRNA_CDK9_targ_1421,3868.0,9907.0,5126.0,11870.0,2913.0,5442.0,459.0,4377.0,8194.0,3835.0,2984.0,4939.0,12553.0
gRNA_CDK9_targ_1422,13084.0,8951.0,3349.0,15678.0,7318.0,5804.0,538.0,8151.0,8293.0,7206.0,5093.0,4527.0,12788.0
gRNA_CDK9_targ_1423,17634.0,13379.0,27170.0,22475.0,15367.0,7637.0,1344.0,10170.0,3734.0,15608.0,9941.0,5680.0,15971.0
gRNA_CDK9_targ_1424,2296.0,3265.0,5629.0,3918.0,962.0,2112.0,102.0,1363.0,1099.0,1862.0,7570.0,4336.0,12815.0
gRNA_CDK9_targ_1425,6619.0,3969.0,21138.0,10593.0,6294.0,2772.0,1330.0,5267.0,6658.0,3089.0,6905.0,5415.0,12059.0
gRNA_CDK9_targ_1426,17313.0,15088.0,18224.0,19149.0,13335.0,6467.0,965.0,7886.0,17748.0,10784.0,11086.0,5773.0,13464.0
gRNA_CDK9_targ_1427,15829.0,14214.0,21461.0,18694.0,15691.0,11243.0,476.0,13775.0,4881.0,16132.0,6050.0,1834.0,18932.0
gRNA_CDK9_targ_1428,26994.0,22906.0,17411.0,38826.0,12871.0,10755.0,996.0,9828.0,17018.0,25142.0,15271.0,24081.0,27657.0
gRNA_CDK9_targ_1429,13769.0,7408.0,19995.0,17155.0,4216.0,3121.0,548.0,8567.0,6203.0,1569.0,4457.0,3853.0,13214.0
gRNA_CDK9_targ_1430,9440.0,5830.0,8858.0,5384.0,3302.0,7364.0,936.0,2330.0,1413.0,3904.0,6013.0,2923.0,16351.0
gRNA_CDK9_targ_1431,23660.0,14254.0,11932.0,26721.0,9487.0,10050.0,1160.0,14470.0,11411.0,13681.0,12494.0,19372.0,19386.0
gRNA_CDK9_targ_1432,231.0,39.0,1876.0,20.0,42.0,158.0,4.0,162.0,539.0,68.0,22.0,56.0,12747.0
gRNA_CDK9_targ_1433,113.0,183.0,2689.0,122.0,47.0,477.0,51.0,9.0,85.0,17.0,154.0,216.0,10628.0
gRNA_CDK9_targ_1434,4184.0,3611.0,3491.0,10182.0,7977.0,811.0,803.0,2991.0,3116.0,2022.0,2274.0,549.0,13812.0
gRNA_CDK9_targ_1435,10945.0,11859.0,9244.0,21282.0,10871.0,11282.0,1744.0,8615.0,5174.0,11816.0,7122.0,16420.0,18191.0
gRNA_CDK9_targ_1436,14311.0,13291.0,15620.0,14021.0,10817.0,8005.0,915.0,4017.0,6101.0,10293.0,11899.0,19113.0,25068.0
gRNA_CDK9_targ_1437,1350.0,1160.0,2011.0,127.0,823.0,279.0,80.0,17.0,15.0,72.0,4418.0,4061.0,7745.0
gRNA_CDK9_targ_1438,8038.0,4587.0,6153.0,10745.0,3123.0,6928.0,542.0,3229.0,5396.0,3544.0,8054.0,20034.0,16238.0
gRNA_CDK9_targ_1439,4748.0,3632.0,5418.0,6473.0,1766.0,5141.0,504.0,870.0,919.0,2228.0,7001.0,2511.0,13001.0
gRNA_CDK9_targ_1440,1470.0,970.0,2360.0,1319.0,424.0,1285.0,64.0,1092.0,2862.0,1584.0,4821.0,919.0,5930.0
gRNA_CDK9_targ_1441,7455.0,3069.0,11137.0,9423.0,6661.0,3349.0,471.0,7089.0,4213.0,4228.0,10649.0,1876.0,20098.0
gRNA_CDK9_targ_1442,2609.0,142.0,6022.0,611.0,3023.0,507.0,52.0,15.0,14.0,1244.0,137.0,1314.0,8906.0
gRNA_CDK9_targ_1443,4967.0,4967.0,10374.0,9789.0,1026.0,2492.0,1293.0,5001.0,5111.0,3234.0,13301.0,561.0,14458.0
gRNA_CDK9_targ_1444,2296.0,5386.0,4954.0,6759.0,2635.0,2314.0,369.0,5874.0,732.0,1119.0,7361.0,657.0,9181.0
gRNA_CDK9_targ_1445,2583.0,1873.0,1300.0,2777.0,389.0,684.0,149.0,421.0,318.0,446.0,377.0,2155.0,7903.0
gRNA_CDK9_targ_1446,7266.0,2436.0,7979.0,8593.0,4685.0,3232.0,304.0,1110.0,6695.0,5891.0,1149.0,1914.0,13634.0
gRNA_CDK9_targ_1447,9750.0,3176.0,5472.0,10603.0,9556.0,605.0,257.0,2339.0,3033.0,12047.0,2055.0,589.0,7872.0
gRNA_CDK9_targ_1448,2993.0,3268.0,2071.0,5936.0,8377.0,2433.0,246.0,2390.0,279.0,2034.0,766.0,5293.0,11257.0
gRNA_CDK9_targ_1449,5037.0,4639.0,7735.0,5791.0,4002.0,3362.0,306.0,2120.0,1403.0,2649.0,3252.0,4811.0,10013.0
gRNA_CDK9_targ_1450,2880.0,1776.0,10058.0,4825.0,3111.0,4433.0,878.0,1216.0,4141.0,4455.0,5460.0,1153.0,9277.0
gRNA_CDK9_targ_1451,1303.0,1090.0,934.0,1642.0,1550.0,354.0,55.0,773.0,1393.0,277.0,4649.0,3556.0,9731.0
gRNA_CDK9_targ_1452,18785.0,16243.0,12209.0,25219.0,25096.0,8015.0,1513.0,18083.0,9263.0,8274.0,21527.0,7160.0,17345.0
gRNA_CDK9_targ_1453,4067.0,3044.0,7674.0,2590.0,3971.0,2165.0,376.0,2631.0,6665.0,5473.0,8163.0,11915.0,11688.0
gRNA_CDK9_targ_1454,24443.0,13830.0,27751.0,23534.0,13672.0,8087.0,704.0,10477.0,6709.0,13200.0,14423.0,18928.0,19067.0
gRNA_CDK9_targ_1455,16108.0,11357.0,4099.0,15391.0,6670.0,7845.0,692.0,5767.0,6734.0,6834.0,10637.0,6647.0,30267.0
gRNA_CDK9_targ_1456,1623.0,741.0,5573.0,2201.0,1294.0,918.0,41.0,549.0,1509.0,278.0,3769.0,2478.0,10931.0
gRNA_CDK9_targ_1457,3071.0,2225.0,4082.0,6210.0,716.0,1820.0,64.0,1270.0,73.0,5471.0,4769.0,6122.0,10421.0
gRNA_CDK9_targ_1458,5351.0,4090.0,4421.0,5199.0,6634.0,2617.0,172.0,1732.0,483.0,4834.0,3206.0,11632.0,10912.0
gRNA_CDK9_targ_1459,1433.0,2087.0,11323.0,6066.0,3192.0,5046.0,823.0,2544.0,2242.0,3509.0,3762.0,1579.0,10890.0
gRNA_CDK9_targ_1460,7051.0,6058.0,10163.0,9393.0,1866.0,3130.0,141.0,4533.0,5069.0,2795.0,1863.0,1097.0,7052.0
gRNA_CDK9_targ_1461,6426.0,6130.0,6386.0,10965.0,7446.0,3362.0,355.0,3309.0,6597.0,2425.0,5014.0,9383.0,17147.0
gRNA_CDK9_targ_1462,11073.0,3999.0,4664.0,6054.0,3085.0,2768.0,644.0,978.0,875.0,2788.0,5781.0,9753.0,14661.0
gRNA_CDK9_targ_1463,1674.0,2969.0,2941.0,11404.0,10210.0,4260.0,383.0,3866.0,1078.0,3386.0,5183.0,8372.0,18802.0
gRNA_CDK9_targ_1464,3160.0,1320.0,2462.0,8463.0,11650.0,2672.0,435.0,1549.0,2234.0,3132.0,2871.0,2913.0,9693.0
gRNA_CDK9_targ_1465,2849.0,1775.0,3253.0,2192.0,475.0,742.0,275.0,1016.0,1827.0,1166.0,1070.0,607.0,8883.0
gRNA_CDK9_targ_1466,2167.0,1364.0,1962.0,3500.0,930.0,262.0,31.0,863.0,194.0,679.0,4371.0,246.0,7231.0
gRNA_CDK9_targ_1467,801.0,709.0,2624.0,2871.0,600.0,1782.0,100.0,172.0,185.0,590.0,3123.0,3140.0,8660.0
gRNA_CDK9_targ_1468,8265.0,5234.0,6979.0,8022.0,9814.0,4876.0,555.0,4278.0,1504.0,3719.0,4792.0,5727.0,12663.0
gRNA_CDK9_targ_1469,5247.0,2894.0,9696.0,8031.0,4411.0,4247.0,291.0,1592.0,4061.0,596.0,6499.0,5455.0,15716.0
gRNA_CDK9_targ_1470,6535.0,6249.0,9600.0,9827.0,6088.0,3474.0,283.0,3552.0,6846.0,5930.0,4826.0,4736.0,13306.0
gRNA_CDK9_targ_1471,3266.0,3316.0,2468.0,6875.0,682.0,1238.0,73.0,1663.0,524.0,2261.0,2768.0,3651.0,12500.0
gRNA_CDK9_targ_1472,2957.0,5915.0,5318.0,5145.0,542.0,2489.0,116.0,1728.0,1080.0,2492.0,8448.0,1929.0,12090.0
gRNA_CDK9_targ_1473,797.0,703.0,129.0,2522.0,2140.0,344.0,95.0,268.0,42.0,1356.0,322.0,11.0,5690.0
gRNA_CDK9_targ_1474,9545.0,3318.0,10160.0,8134.0,6288.0,920.0,635.0,3826.0,4266.0,1945.0,5973.0,3713.0,9872.0
gRNA_CDK9_targ_1475,2347.0,2539.0,5193.0,2365.0,606.0,287.0,52.0,523.0,505.0,525.0,523.0,346.0,7514.0
gRNA_CDK9_targ_1476,6391.0,4757.0,12101.0,7256.0,9297.0,6236.0,884.0,5971.0,9663.0,642.0,8085.0,6732.0,16466.0
gRNA_CDK9_targ_1477,17264.0,10480.0,11930.0,22480.0,9861.0,9361.0,605.0,6035.0,6927.0,8501.0,13348.0,5365.0,14225.0
gRNA_CDK9_targ_1478,11176.0,12313.0,8513.0,15222.0,6969.0,10354.0,993.0,10072.0,5884.0,8243.0,21512.0,20817.0,12836.0
gRNA_CDK9_targ_1479,17839.0,19415.0,20904.0,28552.0,16272.0,10552.0,1208.0,26677.0,21842.0,23697.0,32952.0,24134.0,15192.0
gRNA_CDK9_targ_1480,12652.0,10720.0,9869.0,19464.0,6268.0,9774.0,633.0,8632.0,9756.0,14647.0,16766.0,4895.0,17644.0
gRNA_CDK9_targ_1481,16428.0,11963.0,18433.0,17328.0,10830.0,8609.0,1103.0,18087.0,7909.0,19967.0,15191.0,11253.0,19751.0
gRNA_CDK9_targ_1482,32374.0,24918.0,18490.0,48099.0,19934.0,17509.0,2103.0,28144.0,13897.0,31534.0,26486.0,26051.0,22231.0
gRNA_CDK9_targ_1483,42421.0,21349.0,24057.0,51512.0,18713.0,16662.0,3037.0,18166.0,19895.0,16593.0,43407.0,20559.0,38909.0
