gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3, Senexin B_2000nM_REP1, Senexin B_2000nM_REP2, Senexin B_2000nM_REP3, Senexin B_15000nM_REP1, Senexin B_15000nM_REP2, Senexin B_15000nM_REP3, SEL120_4000nM_REP1, SEL120_4000nM_REP2, SEL120_4000nM_REP3,T0_REP3
gRNA_CDK19_targ_6538,166.44688370547564,78.43572877501526,13.314489845693315,65.14547998613672,69.56884060914268,38.68135611866305,29.504708904666977,41.40058133344045,17.205390205851867,277.13640928930494,65.82313823946463,65.90620267572417,87.12555832384498,143.4700894733754,82.90980614782602,6.698091154852591,64.13603296621447,10.111419792773164,70.74957533196435,90.35261179541428,79.16221927301974,70.19498761305593,10.458333086885895,103.45894795853344,36.05334247740411,141.36651208932938,97.34756594853239,131.80986525302822,46.61290233510658,82.85404069342894,31.181575631299967
gRNA_CDK19_targ_6539,125.72981125678557,10.02234312125195,4.95166977732396,86.66202571326522,89.77822969317987,6.551535263570311,11.301892025265198,15.6542825637305,14.826998030337052,17.90700690406835,11.998218553109613,29.1475678215136,103.94300320067158,51.82150746310751,113.40100099519393,13.396182309705182,2.348230039952933,4.295116372151432,66.31440002483698,35.58081084555562,87.02182539352148,58.25066029918304,51.40445465842116,77.29451880226958,3.2727777944349263,115.30742295905456,110.780709704773,162.30319228917654,83.4163864079538,46.424335738188766,9.61730589394501
gRNA_CDK19_targ_6540,227.56475923572393,93.78767910790286,27.316711604903848,260.8688072209086,250.58651807878454,117.13599089991752,401.9202799952605,206.00369714185774,110.82295456122232,34.32904250389688,121.04531882061217,153.6871757861626,200.31682360416607,237.01740410740325,220.1029172787351,98.83298531368823,26.344205760721966,180.93177717687905,146.36078513520292,282.2029134902946,222.60003097217665,276.8377340481376,150.34189877086357,286.50571129876994,226.6662556339286,176.81334761436162,205.1545262721529,240.28026318513355,166.65111692216206,141.73545247993044,277.9461138169325
gRNA_CDK19_targ_6541,249.00814479520707,156.3351448746458,48.74643803010032,309.97066798281725,331.5726728640806,90.87525371843985,201.63721187011157,159.87352405512,289.4047840801965,457.66233254983143,87.328805924532,287.07817281846667,150.47748617204917,222.61482249790689,142.95984900124932,394.51275025020266,32.58169180434694,62.726595351628205,229.17915481252342,137.5552955302217,273.08800927167096,146.47981698466282,169.43037304255762,233.60352884138382,181.11130020493925,193.06386033907955,83.84606013755267,122.33100113035454,118.51230507959289,161.1453151598596,270.3000569571501
gRNA_CDK19_targ_6542,198.851474235575,104.74856941107807,13.424526951856071,212.9365638164747,215.66588252916145,83.75045911930714,233.69396090951585,187.185251081203,77.62667228169637,78.99464996867876,153.82019937454956,136.71731521696418,156.10106916572656,242.8062230822812,181.3241949530339,904.5314321419999,97.59831103554377,74.26972060178518,165.1676342740795,174.26849399062752,112.13260088020928,152.36372206538837,81.94601349313164,272.69381144536374,370.1406112028662,114.10967600524069,221.4588763274373,139.72382256299633,130.61058760304613,102.84330225932612,62.66182535868519
gRNA_CDK19_targ_6543,190.2572132688965,27.92177866221697,11.663933253251995,206.60297548448918,220.5448649428322,101.27581594935774,45.285691778654794,79.93676202756,86.7354082730297,65.48432280853612,400.92275109492095,109.82487836810154,182.9663376852847,166.06963875129895,206.946467406881,37.875537033914654,67.95190678113798,92.12129802353957,111.60436325723369,128.73459200402033,113.9975921630402,183.69551662025196,117.24624830825037,215.6219988435531,100.50595033232419,124.72754089310422,172.03311075104057,172.36330751371227,156.36939333616425,319.393635889879,49.221491034848995
gRNA_CDK19_targ_6544,183.7762951628766,18.77094363846519,10.150923043514117,211.54626393872178,230.57526026027713,47.11645777050982,149.19018297867353,25.646377817175498,55.96812225785931,19.82873447426105,758.6215401618041,114.95530133088246,135.8721616197497,208.3974830956066,211.29741933300596,55.75317601557157,40.2868216229425,49.885987030717146,94.3327671092858,103.40486904026633,127.2523516374457,208.1725617560703,32.63860248709377,175.8541513411042,104.67610268329773,62.347584676905974,168.4782839046054,136.45987406792474,191.1383313990614,103.53133843641317,16.66601456155688
gRNA_CDK19_targ_6545,153.7668265415237,10.391058085578946,5.171743989649469,257.7792519370132,269.85478365155524,25.905862354700936,43.540929645722144,59.95257152067,67.5058545135482,21.604876622469458,48.44850276508818,105.99115571459491,229.66073296927874,157.13170225408737,167.23539823986727,14.793625788055722,26.05067700572785,47.291020889208994,95.69743643455574,55.30819508320874,42.328641437109,198.14050359343324,30.29959225943549,160.94772357478652,15.51930115425594,38.0041871291213,104.86739196983757,147.28008688720317,131.228217641781,225.85692823641443,25.327563348029095
gRNA_CDK19_targ_6546,327.76538873575294,82.35751521376602,32.763548359960204,386.8123215437007,412.1873315265083,147.05466860355529,176.6115938141672,178.7252770999529,281.61175439872244,546.9353133106015,224.1388726668249,315.6055796225012,374.48798409554786,385.62796483047026,247.34816386375584,457.8795838374771,29.13272893316607,239.49747854298556,172.67331556306425,328.80960374360194,211.3767798594263,362.7427482267307,59.09361471715989,218.69710107506617,131.3334056863564,321.1904128578718,495.69325891348905,325.0087891873345,394.26595178532864,400.18356805204684,122.27717493730084
gRNA_CDK19_targ_6547,403.22581781367126,132.36867219339112,80.21705039264815,390.96115292493164,376.96949907859056,126.60841896849627,255.95920902380558,258.4955042066221,211.77811179850016,75.52971692545252,342.2985439873221,286.8526597212015,315.9334256258362,443.1456701648577,336.40455289134565,116.99975053224526,73.38218874852915,81.38350709316099,156.04140816133668,263.8463142600917,194.4253412351238,233.17915834915394,154.77795265090515,184.97521728203284,140.41272472898234,242.6894300741247,270.1326593017035,287.13804431986,302.13008247758876,371.0325616017801,59.9140236747009
gRNA_CDK19_targ_6548,511.85164085152616,28.25697408433242,21.567272807899915,264.11284026899875,264.90150201331085,60.60170118802538,249.058284169669,90.82814585381504,78.68935814735192,49.76109723423221,90.97383434572984,189.54375825131282,240.77463869611978,434.4392864266413,235.3657803846656,76.7630158969797,94.22273035311143,308.0403773152355,151.22241960647713,153.70671887887428,177.94015043152902,221.41134818770283,95.98007485908136,388.87013134439195,90.47646999453974,310.60491950930054,214.58848982615393,263.03847940419433,240.9120462853404,313.45479730870665,53.88080693377888
gRNA_CDK19_targ_6549,221.25290855855675,14.815637657502881,3.9613358218591683,264.6645465696944,265.5454286262826,55.03289621399061,67.8113521515912,26.9120432159452,20.64646824702224,16.189098924653663,40.21681358054969,84.56741147441083,270.22515626964343,178.57348773703535,168.78930964205477,60.331008099823336,65.38353017493947,84.56010357673132,81.79486768336807,101.25929250686599,75.9650913595953,162.60171690585082,34.76253131450762,223.7527776251809,55.7955827212535,131.26659183014212,175.34867040588875,89.9150742957394,187.50521352415052,116.92993767442397,33.80990767685016
gRNA_CDK19_targ_6550,139.70605204194146,28.826806301928684,17.936048304529013,50.07286385113287,47.37813886980775,30.628427357191207,72.6810613882838,22.48221432025125,5.262825239437041,245.4279043811254,110.68736305704161,29.373080918778694,88.00507604323528,81.78443447707583,42.95701742936092,1.1083172414504288,21.941274435810215,47.96213282235766,53.051520019869585,30.51486625280482,35.76786853143592,19.858179647448765,56.21690098889051,34.764291329139446,18.105851346631933,90.28422308613229,42.999732430917746,73.90831318292253,123.0900336019806,76.51686537815355,11.8872290241929
gRNA_CDK19_targ_6551,171.34983914220373,20.513959833465528,18.596270941505537,171.02895321563673,192.28639319664785,58.58164448175786,74.06124635911111,99.1215849141744,58.194702166851904,5.619597288593807,65.42826016050154,95.6739315147168,101.41105825091165,167.9220608232599,129.52714821345077,65.53528036402534,64.64970828745419,127.15334093389967,111.39113367516026,176.35447117587788,95.08125200861227,122.8559380855497,5.699657106477661,148.90791653276074,50.09461495030234,109.61003204361559,102.67980621818516,143.70315702959047,90.50096626403001,181.42427616874082,45.637401881826015
gRNA_CDK19_targ_6552,86.0834991908292,3.150836967885228,5.1992532661901585,49.23427027407555,50.795903200196385,8.407803588248566,20.260073722710423,4.063452069734299,5.566449772481486,15.490288899129045,13.395479447902126,28.076380609504398,37.71265372537187,62.98235044667223,20.99506961177768,0.530064767650205,0.4402931324911749,31.944928017876276,20.256810296975928,12.992657896702053,20.31508361655113,55.24986870801301,16.426841943669107,59.312988804438824,6.439982111630017,47.32719044529416,54.382014544984216,62.864542247543305,35.02325631414088,14.050422984724836,5.137194452666279
gRNA_CDK19_targ_6553,201.35930776355661,37.24021139702647,7.675088154852139,161.29685407136628,160.78352197741341,55.93373231273153,159.16397248484077,20.68363717463115,59.05497167714449,34.940501276230925,88.3008135035181,101.31175894634417,272.38397248996506,198.16285114802236,181.66950859796444,61.824826990473916,97.01125352555553,91.18174131713144,177.10849087019162,192.20789778378037,57.648212688934436,120.11992222301231,103.72300526788119,184.92309690522754,10.240627292264124,128.61212560817623,131.42605023599265,114.59589031326708,120.51051991079387,118.92162134493908,29.090856958703228
gRNA_CDK19_targ_6554,679.2565733205004,432.30153590229565,232.0407476207089,616.3000743810435,633.0541597758263,459.15342972188597,646.9421741559063,619.3766777768774,445.2147736208374,296.2080995692477,380.60171764674294,510.3361391109113,596.1797534861084,602.0834839391069,911.0064580557876,477.9738573020349,455.703392128366,564.5393581646538,512.9877285522599,579.0076672773414,568.3227900269591,599.3934105735127,610.508554593843,780.5026426594651,409.2027977816056,651.0887697853634,634.3998679791999,597.6602675838631,597.5752280653415,464.60548168561763,267.9703990076852
gRNA_CDK19_targ_6555,757.8447498321935,527.6981530363527,725.1445296125532,749.3054293527392,819.520447047537,494.99578722633527,604.4949759965001,713.3356801434385,619.7988801213932,309.01961670386567,923.4983257473205,579.1740120510816,732.2384794705772,561.14495614877,706.5117175279134,478.0702327143349,804.2687886838794,356.8525852529148,625.8714693019341,830.4573171222312,773.3719208910662,576.4461807586831,776.7395918077646,749.4388980835025,537.2106389349073,672.9395588076436,428.1857298585904,454.1359570471532,474.6668503571064,611.3020371266493,394.3095416517454
gRNA_CDK19_targ_6556,487.28050785826815,594.5026006639619,896.6098502906658,625.8335592570635,644.7934372584656,527.780761607785,688.5820943135077,1354.0288277943318,687.2541305461007,369.8743230933012,435.67202204367385,689.2244035164482,416.8114428346931,609.8636566413429,711.3461085569412,638.7762327246471,109.92651874529666,539.9319206158696,589.1533352688892,658.155601620554,937.2247264540688,768.9675550000235,645.7819042339311,729.111951129433,540.6417769452019,568.800316904421,594.7840572578694,431.556587320973,546.4572595653455,358.2857861104833,876.3097979141199
