gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,T0_REP3
gRNA_CDK7_targ_21,358.89945530582077,424.5371081894817,250.40756836981623,280.0497934432439,286.0685453208384,549.8431492960361,409.66547020551525,520.1494237301079,240.47124727089798,294.10045205348626,166.49746903794795,263.9398259882433,394.6963765631925,335.1529678408536,495.2098086367811,231.38575301857375,109.38642942377531,910.794168430512,415.16322273008956,326.4419561163877,168.55488647956597,296.59915487305466,677.0284739576184,252.2525211808162,264.1398195626372,604.042942320808,302.9962515312472,215.9352439553345,465.6833099573059,380.1194052553523,440.9176246266565
gRNA_CDK7_targ_22,229.7374989647675,70.97301816748352,60.58429674216762,151.69654150931626,169.51243912956485,351.82030295972453,224.48508852401233,139.27783779204145,223.49930216135067,94.23076527364506,184.67182476738176,233.8227029868894,293.8117469231872,241.1400927678397,249.75418920213116,123.82100374926962,30.745620699620464,175.15997064810603,595.6395829855991,198.35006800348518,228.6853231649206,241.84951389544653,107.68399732051884,257.79472362572864,646.6909658308242,513.7836520889631,218.95244608812752,208.2583785730074,159.99192323976004,196.44826406053923,654.5256731754888
gRNA_CDK7_targ_23,575.4323497147057,1861.115903320986,1409.2974067042749,431.58374487591567,413.00722319163907,753.383393179376,490.4068499084171,354.8832750343988,919.8794249374623,70.02247618600342,174.7411785544512,567.1860546337654,338.9487765450927,220.42207871848527,234.08990954097067,117.5413291214948,270.14431051902704,74.27460976393203,322.7394986641595,432.3337730250845,370.5116685711484,349.24897882501284,491.1703083248048,515.3150807937882,59.12254824278035,375.97827269652726,522.1284320193814,374.7152889361484,378.7501836923186,320.6829676388942,757.7808783827112
gRNA_CDK7_targ_24,438.83396725331585,492.05220313703484,235.2262215382903,271.0841120739902,295.1467738245455,437.74227517646693,410.37612554480955,175.61270142813433,523.6375439580008,614.7997617420189,189.41434491394156,395.96902465756443,203.39733621910906,212.84827641270715,272.01203774391973,106.65318359753039,108.76842699765228,134.6551105358793,415.79410139265565,438.26220113075306,222.81979575460852,423.0822510063219,392.7664873366901,514.2724882546463,161.07708316941188,201.51781955609107,437.0781139362244,216.82463689596995,375.17706875182506,361.4480739247823,209.90493300045614
gRNA_CDK7_targ_25,371.1709721736003,337.3358166928196,395.6179973568655,416.3467319789456,431.2680276531188,276.61702493590695,370.7980897256485,286.7771787654041,216.18015083285843,361.12715246489404,161.11836900594392,274.07767644736043,490.52835363358145,410.9398541393175,492.1862383766036,205.15291868641765,288.52988269618703,143.36836532746295,444.8145198706951,659.9475712522952,599.8994501085614,310.0626875669278,388.9186093452055,437.01089377507503,227.73540138503017,330.0998702709892,522.2362726593855,514.9117024731584,340.3962158736163,283.49241358329846,701.9255521947039
gRNA_CDK7_targ_26,501.7749731235402,492.53151922692615,189.73861727728695,474.9488410323838,450.78100156338576,454.84046028314305,501.3126760768184,597.5221295170323,753.2891762215623,687.3338479208651,104.11264026440982,640.7595775563642,417.23682108209175,616.6540974123885,473.93553114348407,317.2754963145906,278.101091755361,236.7179382837808,532.5517167289916,725.3494855669579,441.3897183556376,543.5129333597746,622.9318363126283,436.6267807343385,372.13405248220505,468.9603167815198,484.92341121800035,569.9604444830161,615.1079358198615,474.7689850553295,616.1984272497954
gRNA_CDK7_targ_27,324.2055585390799,124.9303151438241,70.91212748629123,412.5142516008967,406.6942022206704,269.9214331210237,162.8494042890619,409.19396766015984,234.9553651102951,54.77125406078919,39.94538781162774,307.45551158468777,226.44304599497005,402.09560757579595,274.96275088939416,126.35313061530785,39.3976546653428,112.84842421964561,165.87602549326598,221.81150688974796,232.86495048125073,323.37182195009143,385.4385432205539,298.9496922760684,483.2866595815653,307.70521982884975,285.8136428906094,235.08059725638194,261.97774648810315,278.8911282655816,77.39511496106205
gRNA_CDK7_targ_28,270.8499080102779,116.3026255257798,47.80148983755564,216.2912562447945,207.05143572966392,168.91282698662593,176.07852675900247,279.4265975312568,298.81230858496673,317.88509608209415,17.09216992417856,331.8812097668881,185.34813842875755,255.99451793530136,252.8870451343633,115.21177240473962,80.49481600252392,95.1864212637328,119.01075341692896,189.26822069267374,187.27540210649002,250.89725490302646,234.69226426003777,208.4636345368546,65.71634696901359,202.53885225102144,193.2863737671748,202.36029907195123,208.49505796390682,206.1451876639921,90.84976812016214
gRNA_CDK7_targ_29,368.541361416219,652.0753034336185,347.7882894025226,330.7546702025208,329.55534680267664,545.5614189079777,420.35263319259536,500.431750846092,398.7346354174263,470.094713720641,529.0933717870022,407.8854453726671,480.8160325830968,462.93034222543326,534.0426507735185,236.0448664520841,152.028596826264,185.0506923034172,356.58163263466827,454.0292971564673,298.47456247204656,406.34547412540616,454.30424197991886,504.0111827378283,132.81794577126942,361.3434707358586,333.7667808123894,247.71933904435946,270.5684270897154,262.0070730501578,376.7302884548028
gRNA_CDK7_targ_30,211.81090519939363,182.2770616129678,173.48498200784655,164.81988340990782,169.14722304033526,157.79182255589706,264.09045724083853,188.29332497898554,455.166352906671,168.3989109659071,111.62428291265216,373.4404680817485,303.29950563724447,264.2524056106337,253.03275936376943,262.63219854548555,1328.1644640416446,121.04359359118915,259.7417579307757,535.76592295377,105.15801836212137,312.8727368218417,242.64265922773768,299.7727916490752,374.0734050487443,215.26772651448672,158.95710336590048,247.20442734188632,217.54188089834798,251.05525345096396,84.73962746534146
gRNA_CDK7_targ_31,286.6275725545659,222.71079748165957,76.21713344228912,306.3661587058462,351.2596172483211,333.8887609318827,249.49468988763965,296.5663414516381,209.9747834021802,339.0976093951401,110.82855805584683,236.19412999487002,245.61505546745852,296.40441797967895,256.4570437548138,294.385069445605,100.2708936384607,67.3040059306651,146.1385359072702,351.48010460522187,185.20314990763728,170.51749434763224,176.4648164183069,306.1380934669944,253.83354592331466,370.90714364503975,211.4036012878473,200.39427257159917,265.208754678975,221.39407536981403,72.95137630301065
