Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,75.6097561,24.3902439,51,51,41,31,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_CDK7_targ_30_51
Reference,98.29059829,1.70940171,5162,5162,351,345,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_CDK7_targ_31_52
HDR,70.84398977,29.15601023,5162,5162,391,277,114,0,0,0,114,0,0,114,0,0,0,0,gRNA_CDK7_targ_31_52
Reference,99.01960784,0.98039216,296,296,204,202,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_33_53
HDR,95.6043956,4.3956044,296,296,91,87,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_33_53
Reference,68.47457627,31.52542373,296,296,295,202,93,0,0,0,93,0,0,93,0,0,0,0,gRNA_CDK7_targ_33_54
HDR,,,296,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_33_54
Reference,98.53658537,1.46341463,296,296,205,202,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_33_55
HDR,0.0,100.0,296,296,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_33_55
Reference,57.79027456,42.20972544,3030,3030,3023,1747,1276,0,0,2,1275,0,1,1274,0,0,1,0,gRNA_CDK7_targ_34_56
HDR,,,3030,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_56
Reference,97.59776536,2.40223464,3030,3030,1790,1747,43,0,0,1,42,0,1,42,0,0,0,0,gRNA_CDK7_targ_34_57
HDR,97.01130856,2.98869144,3030,3030,1238,1201,37,0,0,1,36,0,1,36,0,0,0,0,gRNA_CDK7_targ_34_57
Reference,97.48883929,2.51116071,3030,3030,1792,1747,45,0,0,1,44,0,1,44,0,0,0,0,gRNA_CDK7_targ_34_58
HDR,0.0,100.0,3030,3030,5,0,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_34_58
Reference,100.0,0.0,131,131,3,3,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_36_59
HDR,5.51181102,94.48818898,131,131,127,7,120,0,0,0,120,0,0,120,0,0,0,0,gRNA_CDK7_targ_36_59
Reference,50.0,50.0,517,517,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_60
HDR,43.30097087,56.69902913,517,517,515,223,292,0,0,0,292,0,0,292,0,0,0,0,gRNA_CDK7_targ_37_60
Reference,0.43668122,99.56331878,517,517,229,1,228,0,0,0,228,0,0,228,0,0,0,0,gRNA_CDK7_targ_37_61
HDR,0.0,100.0,517,517,285,0,285,0,0,0,285,0,0,285,0,0,0,0,gRNA_CDK7_targ_37_61
Reference,0.43478261,99.56521739,517,517,230,1,229,0,0,0,229,0,0,229,0,0,0,0,gRNA_CDK7_targ_37_62
HDR,0.0,100.0,517,517,287,0,287,0,0,0,287,0,0,287,0,0,0,0,gRNA_CDK7_targ_37_62
Reference,50.0,50.0,517,517,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_63
HDR,0.34843206,99.65156794,517,517,287,1,286,0,0,0,286,0,0,286,0,0,0,0,gRNA_CDK7_targ_37_63
Reference,50.0,50.0,517,517,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_64
HDR,0.34843206,99.65156794,517,517,287,1,286,0,0,0,286,0,0,286,0,0,0,0,gRNA_CDK7_targ_37_64
Reference,0.43668122,99.56331878,517,517,229,1,228,0,0,0,228,0,0,228,0,0,0,0,gRNA_CDK7_targ_37_65
HDR,0.0,100.0,517,517,286,0,286,0,0,0,286,0,0,286,0,0,0,0,gRNA_CDK7_targ_37_65
Reference,0.43668122,99.56331878,517,517,229,1,228,0,0,0,228,0,0,228,0,0,0,0,gRNA_CDK7_targ_37_66
HDR,97.91666667,2.08333333,517,517,288,282,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_CDK7_targ_37_66
