Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.47468354,99.52531646,925,925,632,3,629,0,0,0,629,0,0,629,0,0,0,0,gRNA_CDK7_targ_30_51
HDR,36.66666667,63.33333333,925,925,60,22,38,0,0,0,38,0,0,38,0,0,0,0,gRNA_CDK7_targ_30_51
Reference,0.0,100.0,2900,2900,17,0,17,0,2,2,15,0,0,15,2,0,0,0,gRNA_CDK7_targ_31_52
HDR,21.00149477,78.99850523,2900,2900,1338,281,1057,0,0,3,1054,0,3,1054,0,0,0,0,gRNA_CDK7_targ_31_52
Reference,77.22772277,22.77227723,456,455,303,234,69,0,0,1,68,0,1,68,0,0,0,0,gRNA_CDK7_targ_33_53
HDR,62.5,37.5,456,455,152,95,57,0,0,0,57,0,0,57,0,0,0,0,gRNA_CDK7_targ_33_53
Reference,51.54185022,48.45814978,456,455,454,234,220,0,0,1,219,0,1,219,0,0,0,0,gRNA_CDK7_targ_33_54
HDR,,,456,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_33_54
Reference,77.22772277,22.77227723,456,455,303,234,69,0,0,1,68,0,1,68,0,0,0,0,gRNA_CDK7_targ_33_55
HDR,,,456,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_33_55
Reference,35.79359895,64.20640105,1533,1533,1531,548,983,0,0,0,983,0,0,983,0,0,0,0,gRNA_CDK7_targ_34_56
HDR,,,1533,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_56
Reference,44.19354839,55.80645161,1533,1533,1240,548,692,0,0,0,692,0,0,692,0,0,0,0,gRNA_CDK7_targ_34_57
HDR,61.20996441,38.79003559,1533,1533,281,172,109,0,0,0,109,0,0,109,0,0,0,0,gRNA_CDK7_targ_34_57
Reference,43.76996805,56.23003195,1533,1533,1252,548,704,0,0,0,704,0,0,704,0,0,0,0,gRNA_CDK7_targ_34_58
HDR,,,1533,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_58
Reference,65.03496503,34.96503497,677,677,143,93,50,0,1,0,50,0,0,49,0,1,0,0,gRNA_CDK7_targ_36_59
HDR,31.01503759,68.98496241,677,677,532,165,367,0,0,0,367,0,0,367,0,0,0,0,gRNA_CDK7_targ_36_59
Reference,1.81543116,98.18456884,2150,2150,661,12,649,0,297,0,436,213,0,352,0,84,0,0,gRNA_CDK7_targ_37_60
HDR,0.33806626,99.66193374,2150,2150,1479,5,1474,0,0,1,1474,0,0,1473,0,0,1,0,gRNA_CDK7_targ_37_60
Reference,1.66204986,98.33795014,2150,2150,722,12,710,0,297,0,497,213,0,413,0,84,0,0,gRNA_CDK7_targ_37_61
HDR,5.11562719,94.88437281,2150,2150,1427,73,1354,0,0,1,1354,0,0,1353,0,0,1,0,gRNA_CDK7_targ_37_61
Reference,2.80373832,97.19626168,2150,2150,428,12,416,0,295,0,204,212,0,121,0,83,0,0,gRNA_CDK7_targ_37_62
HDR,0.0,100.0,2150,2150,1717,0,1717,0,0,1,1717,0,0,1716,0,0,1,0,gRNA_CDK7_targ_37_62
Reference,3.7037037,96.2962963,2150,2150,324,12,312,0,297,0,99,213,0,15,0,84,0,0,gRNA_CDK7_targ_37_63
HDR,0.64754857,99.35245143,2150,2150,1081,7,1074,0,0,1,1074,0,0,1073,0,0,1,0,gRNA_CDK7_targ_37_63
Reference,2.88461538,97.11538462,2150,2150,416,12,404,0,297,0,191,213,0,107,0,84,0,0,gRNA_CDK7_targ_37_64
HDR,22.32081911,77.67918089,2150,2150,1465,327,1138,0,0,1,1138,0,0,1137,0,0,1,0,gRNA_CDK7_targ_37_64
Reference,3.63636364,96.36363636,2150,2150,330,12,318,0,297,0,105,213,0,21,0,84,0,0,gRNA_CDK7_targ_37_65
HDR,15.90052751,84.09947249,2150,2150,1327,211,1116,0,0,1,1116,0,0,1115,0,0,1,0,gRNA_CDK7_targ_37_65
Reference,2.8436019,97.1563981,2150,2150,422,12,410,0,297,0,197,213,0,113,0,84,0,0,gRNA_CDK7_targ_37_66
HDR,50.20266358,49.79733642,2150,2150,1727,867,860,0,0,1,859,0,1,859,0,0,0,0,gRNA_CDK7_targ_37_66
Reference,17.93103448,82.06896552,1805,1805,290,52,238,0,0,8,238,0,0,230,0,0,8,0,gRNA_CDK7_targ_39_67
HDR,15.67919075,84.32080925,1805,1805,1384,217,1167,0,0,0,1167,0,0,1167,0,0,0,0,gRNA_CDK7_targ_39_67
Reference,44.18604651,55.81395349,2103,2103,43,19,24,0,2,0,23,1,0,22,0,1,0,0,gRNA_CDK7_targ_40_68
HDR,61.72388605,38.27611395,2103,2103,1369,845,524,0,0,1,523,0,1,523,0,0,0,0,gRNA_CDK7_targ_40_68
Reference,60.45592705,39.54407295,3878,3878,3290,1989,1301,0,0,0,1301,0,0,1301,0,0,0,0,gRNA_CDK7_targ_41_69
HDR,49.30795848,50.69204152,3878,3878,578,285,293,0,0,0,293,0,0,293,0,0,0,0,gRNA_CDK7_targ_41_69
Reference,5.10948905,94.89051095,1983,1968,1507,77,1430,0,0,1,1430,0,0,1429,0,0,1,0,gRNA_CDK7_targ_42_70
HDR,28.75816993,71.24183007,1983,1968,459,132,327,0,0,0,327,0,0,327,0,0,0,0,gRNA_CDK7_targ_42_70
Reference,80.49792531,19.50207469,1029,1029,241,194,47,0,1,0,47,0,0,46,0,1,0,0,gRNA_CDK7_targ_43_71
HDR,74.76882431,25.23117569,1029,1029,757,566,191,0,0,0,191,0,0,191,0,0,0,0,gRNA_CDK7_targ_43_71
Reference,75.0,25.0,473,473,4,3,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_44_72
HDR,45.47511312,54.52488688,473,473,442,201,241,0,0,0,241,0,0,241,0,0,0,0,gRNA_CDK7_targ_44_72
Reference,60.0,40.0,70,70,5,3,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_54_73
HDR,84.61538462,15.38461538,70,70,65,55,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_CDK7_targ_54_73
Reference,50.0,50.0,461,461,14,7,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_CDK7_targ_55_74
HDR,8.59728507,91.40271493,461,461,442,38,404,0,11,7,403,0,1,386,0,11,6,0,gRNA_CDK7_targ_55_74
Reference,0.0,100.0,129,129,8,0,8,0,0,7,1,0,7,1,0,0,0,0,gRNA_CDK7_targ_56_75
HDR,0.0,100.0,129,129,120,0,120,0,0,0,120,0,0,120,0,0,0,0,gRNA_CDK7_targ_56_75
Reference,0.0,100.0,129,129,7,0,7,0,0,7,0,0,7,0,0,0,0,0,gRNA_CDK7_targ_56_76
HDR,0.86206897,99.13793103,129,129,116,1,115,0,0,0,115,0,0,115,0,0,0,0,gRNA_CDK7_targ_56_76
Reference,0.0,100.0,129,129,42,0,42,0,0,7,35,0,7,35,0,0,0,0,gRNA_CDK7_targ_56_77
HDR,0.0,100.0,129,129,44,0,44,0,0,0,44,0,0,44,0,0,0,0,gRNA_CDK7_targ_56_77
Reference,0.0,100.0,129,129,7,0,7,0,0,7,0,0,7,0,0,0,0,0,gRNA_CDK7_targ_56_78
HDR,20.83333333,79.16666667,129,129,120,25,95,0,0,0,95,0,0,95,0,0,0,0,gRNA_CDK7_targ_56_78
Reference,0.0,100.0,129,129,8,0,8,0,0,7,1,0,7,1,0,0,0,0,gRNA_CDK7_targ_56_79
HDR,0.0,100.0,129,129,86,0,86,0,0,0,86,0,0,86,0,0,0,0,gRNA_CDK7_targ_56_79
Reference,0.0,100.0,129,129,12,0,12,0,0,7,5,0,7,5,0,0,0,0,gRNA_CDK7_targ_56_80
HDR,0.0,100.0,129,129,86,0,86,0,0,0,86,0,0,86,0,0,0,0,gRNA_CDK7_targ_56_80
Reference,0.0,100.0,129,129,8,0,8,0,0,7,1,0,7,1,0,0,0,0,gRNA_CDK7_targ_56_81
HDR,32.17391304,67.82608696,129,129,115,37,78,0,0,0,78,0,0,78,0,0,0,0,gRNA_CDK7_targ_56_81
Reference,56.52173913,43.47826087,805,805,23,13,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_CDK7_targ_57_82
HDR,12.78295606,87.21704394,805,805,751,96,655,0,1,0,655,0,0,654,0,1,0,0,gRNA_CDK7_targ_57_82
Reference,9.62962963,90.37037037,805,805,135,13,122,0,0,0,122,0,0,122,0,0,0,0,gRNA_CDK7_targ_57_83
HDR,0.0,100.0,805,805,660,0,660,0,1,0,660,0,0,659,0,1,0,0,gRNA_CDK7_targ_57_83
