gRNA_id,Gene,classification,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,base_RPM,base_RAW,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK19_targ_6430,CDK19,targeting,-2.6162332972548903,-4.245053253998078,-3.2201731033472223,-3.360486551533397,-3.2201731033472223,318.1536304564696,9086.0,-0.7143386939109241,-4.6412293946775645,-0.11569561155378753,-1.823754566714092,-0.7143386939109241,-1.5521667508608337,-1.7498112704229167,-0.31193059111792026,-1.2046362041338903,-1.5521667508608337,0.12592629050909473,0.12592629050909473,0.12592629050909473,0.5489167682777034,0.9236628546056227,0.3072996459379581,0.9987238492983638,0.06984134203137646,0.6257653424325733,0.23567643235676436,0.5228560147937774
gRNA_CDK19_targ_6431,CDK19,targeting,-3.2828393689255893,-1.7344438981114667,-2.5879472152303364,-2.5350768274224644,-2.5879472152303364,389.95835621961794,10917.0,-2.6903027697058595,-3.6158351807690345,-5.011124873696734,-3.7724209413905427,-3.6158351807690345,0.19768059304292163,0.7525654764328247,-0.6884051537299719,0.08728030524859147,0.19768059304292163,-0.17961839470654636,-0.17961839470654636,-0.17961839470654636,0.3489459508107395,0.8485521518631043,0.14223622975846437,0.6998042409393758,0.346157156803542,0.999992293766085,0.08769123087691232,0.3077083037197566
gRNA_CDK19_targ_6432,CDK19,targeting,-4.199934611761814,-3.679527029433685,-0.7341021549173908,-2.87118793203763,-3.679527029433685,377.94916629070593,13733.0,-3.959107929743493,-3.191303871143206,1.6534220502013113,-1.8323299168951293,-3.191303871143206,-0.4239971156161531,-0.14357791011176402,-0.8234034401822755,-0.4636594886367309,-0.4239971156161531,0.15170494131508547,0.15170494131508547,0.15170494131508547,0.28867270547294915,0.8315164932074949,0.2562633176778819,0.955736143798658,0.3355414488635514,0.8816440379186674,0.2422757724227577,0.5228560147937774
gRNA_CDK19_targ_6433,CDK19,targeting,-5.372500634680365,-4.299505407681637,-1.620161845671125,-3.764055962677709,-4.299505407681637,567.0109771056144,16193.0,-2.2228908015377358,-3.185963290080068,-2.1511443718479564,-2.51999948782192,-2.2228908015377358,-0.13912275245341224,-0.26784759600311414,-0.42941662567345756,-0.27879565804332795,-0.26784759600311414,0.15363841799844605,0.15363841799844605,0.15363841799844605,0.27869245330864795,0.9119417459309344,0.5062585863595559,0.9999995379539554,0.4975291838694438,0.9606583133145866,0.2508749125087491,0.5348288700541711
gRNA_CDK19_targ_6434,CDK19,targeting,-4.769090525766126,-3.707835397742183,-0.9191052329281619,-3.1320103854788237,-3.707835397742183,257.95875892588435,8344.0,-2.9032726205050734,0.3573446560076456,-4.24175393083454,-2.2625606317773226,-2.9032726205050734,-0.5216122369175037,-0.27849824935595485,0.20252484077646282,-0.1991952151656652,-0.27849824935595485,0.7919308819547225,0.7919308819547225,0.7919308819547225,0.33802125875167455,0.8485521518631043,0.43356985232838496,0.9852723310299065,0.538677263204018,0.9714179323110411,0.3415658434156584,0.8492197544534633
gRNA_CDK19_targ_6435,CDK19,targeting,-4.777928886482504,-1.9780701493584516,-3.26082921457271,-3.3389427501378885,-3.26082921457271,284.18829680659337,8116.0,-2.0692806147483274,2.4333910790473987,0.8490911641623886,0.40440054282048665,0.8490911641623886,-1.2085693906546136,-0.6222305315336358,0.2952174642956788,-0.5118608192975235,-0.6222305315336358,0.5462590330497297,0.5462590330497297,0.5462590330497297,0.4981211347673101,0.9079483464896868,0.011350318326053498,0.2791564777488833,0.28895689673124375,0.855189564806493,0.48015198480151977,0.7833653720720647
gRNA_CDK19_targ_6436,CDK19,targeting,-4.292275581653377,-4.5200665836188145,-0.5738100768593489,-3.1287174140438467,-4.292275581653377,210.7951634765515,6357.0,-1.043025045963195,-2.3456268479734064,-0.7797996449926224,-1.3894838463097414,-1.043025045963195,-0.702871763758079,0.5364884641266101,-0.08571591155705396,-0.08403307039617429,-0.08571591155705396,0.966789605088544,0.966789605088544,0.966789605088544,0.2702575624137955,0.8259391617046781,0.33849790135053753,0.9999995379539554,0.5423716422636775,0.9828183166623569,0.2772722727727227,0.8789842619301546
gRNA_CDK19_targ_6437,CDK19,targeting,-3.458403894215813,-1.940389672728556,-1.930553969401252,-2.44311584544854,-1.940389672728556,1092.8433641367394,31210.0,-1.0934990713423896,0.2012935793061705,-0.19265224923963015,-0.3616192470919497,-0.19265224923963015,-0.22974676911118114,0.41021512016938344,0.28136932978736645,0.1539458936151896,0.28136932978736645,-0.295023962684054,-0.295023962684054,-0.295023962684054,0.30050479055029794,0.8354155582508282,0.09091747079402615,0.7453594452483225,0.4392039748324197,0.999992293766085,0.0401959804019598,0.181981801819818
gRNA_CDK19_targ_6438,CDK19,targeting,-4.40389846216961,-2.9684929867404466,-2.8601835046333846,-3.4108583178478136,-2.9684929867404466,586.1249635355612,21322.0,-2.587517014902694,0.68213733053911,-5.2502392698052205,-2.385206318056268,-2.587517014902694,0.20388965759700484,-0.13595227327491677,0.5599741469232251,0.20930384374843772,0.20388965759700484,0.29875598652654034,0.29875598652654034,0.29875598652654034,0.5059206554816771,0.9310122655226069,0.2868645320438436,0.8708643628949936,0.3700654896370435,0.999992293766085,0.35776422357764226,0.6506970888520741
gRNA_CDK19_targ_6439,CDK19,targeting,-6.250507331995059,-2.147283500852971,-2.6851256432290205,-3.694305492025683,-2.6851256432290205,301.30060774136456,8435.0,-5.152302763576191,-2.4391193513228218,-4.792663415552838,-4.1280285101506164,-4.792663415552838,-0.7187125111127921,-0.1471963042138029,0.38397793792749024,-0.1606436257997016,-0.1471963042138029,0.011789952364945289,0.011789952364945289,0.011789952364945289,0.07873492400060945,0.8984084598505058,0.08052435073951786,0.5972131680506146,0.5229962596063018,0.9677430620561762,0.16228377162283772,0.414826494878602
