gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_2423,9045.0,4272.0,3737.0,4413.0,3430.0,3748.0,2584.0,3206.0,8539.0,971.0,3284.0,5085.0,10423.0,7091.0,3789.0,10146.0
gRNA_CDK12_targ_2424,18.0,36.0,46.0,203.0,201.0,48.0,232.0,73.0,133.0,57.0,640.0,35.0,70.0,325.0,919.0,1364.0
gRNA_CDK12_targ_2425,557.0,166.0,578.0,24.0,953.0,50.0,291.0,282.0,486.0,436.0,281.0,131.0,37.0,74.0,34.0,2619.0
gRNA_CDK12_targ_2426,177.0,1843.0,166.0,166.0,3275.0,55.0,783.0,784.0,753.0,246.0,209.0,105.0,215.0,1741.0,156.0,1823.0
gRNA_CDK12_targ_2427,15380.0,7211.0,4440.0,7203.0,9400.0,2862.0,1683.0,6951.0,5711.0,580.0,102.0,102.0,5983.0,2065.0,192.0,4556.0
gRNA_CDK12_targ_2428,8157.0,2868.0,1637.0,2901.0,4090.0,2271.0,2572.0,4268.0,6975.0,4785.0,4531.0,2262.0,6613.0,1592.0,1144.0,5492.0
gRNA_CDK12_targ_2429,10033.0,1206.0,862.0,1265.0,6419.0,1788.0,2436.0,1478.0,181.0,7.0,1312.0,442.0,30.0,716.0,33.0,4827.0
gRNA_CDK12_targ_2430,306.0,495.0,180.0,63.0,91.0,55.0,18.0,52.0,7.0,319.0,5.0,1.0,12.0,97.0,2.0,3739.0
gRNA_CDK12_targ_2431,13233.0,3118.0,3100.0,2263.0,4065.0,834.0,744.0,2531.0,159.0,14.0,2313.0,123.0,24.0,12.0,1393.0,3496.0
gRNA_CDK12_targ_2432,8687.0,4121.0,2733.0,3227.0,4479.0,2154.0,5864.0,1854.0,4829.0,3767.0,2972.0,1184.0,1463.0,627.0,1602.0,4858.0
gRNA_CDK12_targ_2433,4615.0,6811.0,5761.0,4474.0,6277.0,4114.0,827.0,2868.0,1814.0,131.0,26.0,321.0,97.0,1568.0,262.0,6514.0
gRNA_CDK12_targ_2434,23837.0,6477.0,5428.0,3616.0,8727.0,5689.0,4267.0,5956.0,7080.0,1440.0,2875.0,1935.0,4595.0,3152.0,604.0,8744.0
gRNA_CDK12_targ_2435,4260.0,1762.0,1813.0,4217.0,4601.0,1281.0,9775.0,3536.0,3455.0,505.0,1492.0,607.0,315.0,361.0,3414.0,6848.0
gRNA_CDK12_targ_2436,9364.0,1432.0,2169.0,940.0,2208.0,576.0,3574.0,2220.0,5502.0,54.0,4069.0,964.0,2094.0,1271.0,290.0,7669.0
gRNA_CDK12_targ_2437,2245.0,2591.0,2009.0,1503.0,7489.0,1854.0,2404.0,4755.0,1491.0,1910.0,3125.0,592.0,524.0,497.0,487.0,3780.0
gRNA_CDK12_targ_2438,3568.0,1007.0,1199.0,1266.0,5866.0,4338.0,4633.0,1969.0,599.0,658.0,1641.0,192.0,5942.0,17900.0,15481.0,2681.0
gRNA_CDK12_targ_2439,6719.0,2744.0,2337.0,7390.0,5339.0,2450.0,1629.0,3406.0,2223.0,3344.0,903.0,6245.0,22720.0,20955.0,39151.0,2606.0
gRNA_CDK12_targ_2440,1153.0,246.0,418.0,131.0,77.0,155.0,127.0,219.0,88.0,268.0,338.0,458.0,136.0,1040.0,187.0,995.0
gRNA_CDK12_targ_2441,570.0,476.0,1170.0,627.0,279.0,457.0,91.0,194.0,70.0,743.0,491.0,485.0,83.0,430.0,973.0,488.0
gRNA_CDK12_targ_2442,351.0,8.0,89.0,60.0,1023.0,11.0,247.0,558.0,1236.0,11.0,1123.0,197.0,14.0,567.0,15.0,32.0
gRNA_CDK12_targ_2443,589.0,2763.0,3714.0,820.0,3749.0,686.0,2568.0,1354.0,68.0,885.0,418.0,818.0,164.0,11.0,53.0,1830.0
gRNA_CDK12_targ_2444,8905.0,1230.0,1678.0,707.0,5970.0,552.0,2639.0,1697.0,3081.0,1425.0,1478.0,752.0,4437.0,1031.0,1370.0,4973.0
gRNA_CDK12_targ_2445,31775.0,9756.0,8176.0,18291.0,13716.0,13342.0,18435.0,18477.0,12065.0,2864.0,13322.0,8730.0,7402.0,6904.0,14702.0,9683.0
gRNA_CDK12_targ_2446,2946.0,3888.0,3349.0,5044.0,2785.0,2630.0,6841.0,1338.0,4955.0,3923.0,821.0,23863.0,255.0,68.0,8512.0,3781.0
