gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK19_targ_6906,2629.0,3148.0,3003.0,4526.0,2551.0,3798.0,2714.0,4745.0,2260.0,2732.0,1587.0,584.0,2942.0,3005.0,629.0,4266.0,3027.0,13847.0,1544.0,4772.0,2612.0,6995.0,122.0,1026.0,11735.0,3592.0,455.0,4110.0,2552.0,6069.0,4437.0
gRNA_CDK19_targ_6907,3632.0,8645.0,5110.0,4550.0,9161.0,6717.0,9888.0,15859.0,3076.0,7979.0,4011.0,1267.0,5763.0,5719.0,1465.0,12699.0,1408.0,13448.0,1837.0,1395.0,3914.0,11250.0,324.0,9213.0,2636.0,7334.0,245.0,3146.0,8738.0,16883.0,7112.0
gRNA_CDK19_targ_6908,2907.0,4902.0,1992.0,2295.0,4898.0,5096.0,5699.0,9350.0,3673.0,5002.0,1010.0,481.0,2522.0,2596.0,917.0,4924.0,839.0,8839.0,1127.0,551.0,2036.0,5815.0,186.0,8723.0,681.0,3564.0,159.0,1783.0,2905.0,6055.0,4826.0
gRNA_CDK19_targ_6909,6160.0,7632.0,4541.0,4765.0,4112.0,8062.0,5753.0,10888.0,4847.0,3742.0,3596.0,1419.0,6508.0,6442.0,1141.0,1766.0,6926.0,15422.0,1797.0,1184.0,4131.0,12146.0,379.0,3606.0,1687.0,4106.0,215.0,11412.0,3453.0,7021.0,6643.0
gRNA_CDK19_targ_6910,5578.0,7173.0,6386.0,5804.0,5295.0,8422.0,5079.0,8506.0,6233.0,4008.0,4584.0,1826.0,9136.0,8981.0,1089.0,2516.0,1793.0,7991.0,1099.0,1327.0,2114.0,6542.0,219.0,3333.0,1306.0,6384.0,198.0,2847.0,3447.0,6613.0,7173.0
gRNA_CDK19_targ_6911,4593.0,3463.0,3231.0,3611.0,2720.0,6411.0,4285.0,7272.0,423.0,2940.0,2799.0,875.0,4188.0,3990.0,621.0,631.0,796.0,2642.0,506.0,324.0,1327.0,3631.0,105.0,3677.0,732.0,1453.0,73.0,1050.0,1657.0,2934.0,4885.0
gRNA_CDK19_targ_6912,540.0,1807.0,897.0,748.0,817.0,347.0,1489.0,2801.0,768.0,416.0,1178.0,435.0,1947.0,1985.0,197.0,38.0,57.0,1488.0,215.0,119.0,451.0,1475.0,36.0,86.0,284.0,1894.0,41.0,129.0,687.0,1488.0,3791.0
gRNA_CDK19_targ_6913,4609.0,2985.0,2680.0,2786.0,5411.0,2981.0,5113.0,4667.0,1244.0,4629.0,1551.0,512.0,3894.0,3454.0,740.0,6369.0,1149.0,7699.0,1057.0,898.0,1705.0,3120.0,138.0,2453.0,1155.0,2663.0,111.0,850.0,3201.0,4545.0,2560.0
gRNA_CDK19_targ_6914,6116.0,5202.0,4156.0,2839.0,4291.0,3368.0,4720.0,5237.0,4237.0,3210.0,3120.0,874.0,5403.0,4905.0,948.0,5285.0,1063.0,10604.0,1336.0,830.0,3051.0,6844.0,178.0,4212.0,4846.0,6768.0,183.0,3894.0,5577.0,9037.0,4675.0
gRNA_CDK19_targ_6915,8517.0,7209.0,6065.0,9066.0,7466.0,6866.0,5766.0,7788.0,2464.0,5540.0,9865.0,1587.0,4096.0,3986.0,1308.0,14316.0,1127.0,10067.0,2347.0,7760.0,2846.0,6429.0,324.0,8281.0,3545.0,6202.0,296.0,3752.0,8313.0,13887.0,10022.0
