gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_82,3176.0,1414.0,2740.0,2862.0,91.0,854.0,93.0,348.0,941.0,1832.0,2739.0,1059.0,4368.0
gRNA_CDK7_targ_83,411.0,571.0,1520.0,2079.0,20.0,588.0,21.0,289.0,999.0,1104.0,451.0,187.0,5451.0
gRNA_CDK7_targ_84,166.0,335.0,49.0,872.0,128.0,130.0,4.0,128.0,8.0,7.0,317.0,693.0,3249.0
gRNA_CDK7_targ_85,234.0,206.0,776.0,3331.0,278.0,221.0,14.0,105.0,766.0,1009.0,1068.0,871.0,4246.0
gRNA_CDK7_targ_86,6.0,332.0,50.0,432.0,84.0,113.0,5.0,8.0,97.0,347.0,81.0,96.0,3022.0
gRNA_CDK7_targ_87,133.0,285.0,583.0,123.0,352.0,22.0,5.0,23.0,76.0,121.0,555.0,685.0,4481.0
gRNA_CDK7_targ_88,414.0,87.0,514.0,613.0,223.0,171.0,25.0,5.0,561.0,15.0,251.0,752.0,4734.0
gRNA_CDK7_targ_89,531.0,321.0,407.0,1001.0,469.0,454.0,23.0,57.0,70.0,160.0,204.0,166.0,4893.0
gRNA_CDK7_targ_90,13.0,37.0,21.0,207.0,57.0,9.0,9.0,3.0,10.0,13.0,74.0,143.0,2624.0
gRNA_CDK7_targ_91,22.0,0.0,15.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1516.0
gRNA_CDK7_targ_92,3362.0,1347.0,3197.0,5633.0,2919.0,2286.0,136.0,1049.0,1558.0,1268.0,1845.0,823.0,8660.0
gRNA_CDK7_targ_93,995.0,585.0,1601.0,3032.0,50.0,558.0,96.0,374.0,802.0,722.0,393.0,98.0,10180.0
gRNA_CDK7_targ_94,1413.0,1235.0,189.0,2610.0,2387.0,1026.0,76.0,48.0,558.0,332.0,281.0,1671.0,3652.0
gRNA_CDK7_targ_95,3597.0,1130.0,2767.0,4312.0,997.0,1544.0,185.0,949.0,681.0,1304.0,2889.0,10548.0,8476.0
gRNA_CDK7_targ_96,203.0,239.0,310.0,956.0,99.0,405.0,20.0,116.0,23.0,157.0,97.0,344.0,4988.0
gRNA_CDK7_targ_97,95.0,387.0,964.0,1102.0,1127.0,301.0,43.0,31.0,107.0,352.0,531.0,445.0,7116.0
gRNA_CDK7_targ_98,176.0,554.0,1195.0,358.0,104.0,379.0,19.0,120.0,382.0,3.0,181.0,211.0,3541.0
gRNA_CDK7_targ_99,726.0,420.0,1173.0,2763.0,294.0,626.0,36.0,305.0,698.0,386.0,506.0,206.0,7949.0
gRNA_CDK7_targ_100,1127.0,1504.0,1822.0,3144.0,3615.0,1132.0,120.0,513.0,513.0,330.0,351.0,303.0,7235.0
gRNA_CDK7_targ_101,1936.0,2257.0,1099.0,2201.0,1553.0,259.0,44.0,108.0,309.0,719.0,1343.0,736.0,6204.0
gRNA_CDK7_targ_102,1508.0,407.0,500.0,1464.0,406.0,375.0,42.0,254.0,668.0,767.0,320.0,107.0,6496.0
gRNA_CDK7_targ_103,523.0,232.0,633.0,1946.0,125.0,122.0,8.0,62.0,79.0,153.0,118.0,105.0,6517.0
gRNA_CDK7_targ_104,1375.0,672.0,3657.0,4707.0,1126.0,388.0,49.0,194.0,765.0,445.0,1148.0,1583.0,7176.0
gRNA_CDK7_targ_105,879.0,1016.0,423.0,2928.0,281.0,409.0,43.0,281.0,1042.0,846.0,767.0,49.0,5010.0
gRNA_CDK7_targ_106,584.0,1066.0,1932.0,3548.0,2005.0,752.0,138.0,267.0,583.0,392.0,870.0,1670.0,14142.0
gRNA_CDK7_targ_107,373.0,302.0,329.0,1440.0,115.0,340.0,10.0,23.0,170.0,306.0,245.0,507.0,4608.0
gRNA_CDK7_targ_108,480.0,320.0,156.0,992.0,711.0,355.0,32.0,72.0,6.0,293.0,21.0,70.0,3236.0
gRNA_CDK7_targ_109,186.0,107.0,71.0,172.0,31.0,35.0,3.0,21.0,2.0,18.0,22.0,41.0,3779.0
gRNA_CDK7_targ_110,450.0,1189.0,1501.0,1426.0,1644.0,343.0,97.0,111.0,286.0,445.0,348.0,1216.0,9609.0
gRNA_CDK7_targ_111,1373.0,1588.0,2559.0,5139.0,1413.0,1008.0,79.0,568.0,356.0,1258.0,1057.0,230.0,9887.0
gRNA_CDK7_targ_112,3047.0,3969.0,1523.0,6506.0,2511.0,3648.0,261.0,2201.0,3482.0,2865.0,1623.0,1664.0,8408.0
gRNA_CDK7_targ_113,785.0,1171.0,1751.0,1345.0,32.0,643.0,11.0,263.0,675.0,1386.0,110.0,15.0,5136.0
gRNA_CDK7_targ_114,4892.0,1901.0,1353.0,5040.0,3515.0,819.0,151.0,1183.0,155.0,1571.0,1682.0,682.0,6336.0
gRNA_CDK7_targ_115,1414.0,411.0,386.0,1775.0,211.0,99.0,42.0,432.0,671.0,25.0,1361.0,147.0,4433.0
gRNA_CDK7_targ_116,1443.0,1286.0,3242.0,2894.0,452.0,1469.0,179.0,206.0,1403.0,1336.0,3429.0,3295.0,10321.0
gRNA_CDK7_targ_117,1011.0,597.0,929.0,2442.0,498.0,659.0,34.0,210.0,747.0,1298.0,889.0,622.0,8324.0
gRNA_CDK7_targ_118,67.0,153.0,27.0,202.0,69.0,61.0,9.0,38.0,32.0,9.0,113.0,0.0,1316.0
gRNA_CDK7_targ_119,618.0,521.0,92.0,2541.0,35.0,600.0,76.0,67.0,866.0,604.0,294.0,16.0,1147.0
gRNA_CDK7_targ_120,79.0,457.0,2174.0,754.0,125.0,78.0,11.0,34.0,12.0,3.0,706.0,521.0,3840.0
gRNA_CDK7_targ_121,2790.0,1122.0,995.0,2443.0,2182.0,303.0,49.0,854.0,1410.0,187.0,449.0,772.0,2269.0
gRNA_CDK7_targ_122,1176.0,1122.0,3368.0,1735.0,2316.0,1683.0,116.0,555.0,835.0,118.0,1519.0,2664.0,7057.0
gRNA_CDK7_targ_123,1331.0,1816.0,3910.0,4430.0,4696.0,1218.0,204.0,497.0,2043.0,2129.0,1603.0,506.0,5151.0
