gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK9_targ_1136,CDK9,targeting,-0.32878423590919575,0.3467072589742412,0.5746217303875897,0.19751491781754504,0.3467072589742412,93.57756878920658,2341.0,-2.491336130785519,-2.3599022763587674,-5.4975732580045475,-3.4496038883829443,-2.491336130785519,-2.6471708695702545,-2.6581918441365424,-5.415049222534561,-3.5734706454137863,-2.6581918441365424,1.1729913852673715,1.1729913852673715,1.1729913852673715,0.4610742229480711,0.9464910275078934,0.33306083420662735,0.8944027613922373,0.1006117055165986,0.8556696450477078,0.261973802619738,0.9462110783740278
gRNA_CDK9_targ_1137,CDK9,targeting,0.3736029739173872,0.040156883773645714,0.40358589045743604,0.2724485827161563,0.3736029739173872,140.52951470818135,4332.0,-4.17426476784933,-4.193123938066125,-3.607650830674544,-3.9916798455299998,-4.17426476784933,-3.1064492129145056,-6.076846016577666,-2.8652306295698393,-4.016175286354003,-3.1064492129145056,0.7578312335476886,0.7578312335476886,0.7578312335476886,0.4355206700527444,0.9267607083713434,0.28906828143067725,0.9528163978798455,0.015605110263636,0.5406736400545341,0.42245775422457754,0.9037038989510792
gRNA_CDK9_targ_1138,CDK9,targeting,0.703399573269347,0.3725397867893956,0.6891849210314765,0.5883747603634064,0.6891849210314765,170.1199729529121,6761.0,-5.0174811893201126,-3.3009965256000835,-0.5224900081610498,-2.9469892410270817,-3.3009965256000835,-4.3995635262952,1.2107922010625465,-1.54776320384719,-1.5788448430266147,-1.54776320384719,1.513645101231272,1.513645101231272,1.513645101231272,0.21116473574877243,0.7227602192404643,0.275613162729944,0.7102422083592248,0.23920598318021036,0.9262869986978357,0.17278272172782716,0.9415106393552259
gRNA_CDK9_targ_1139,CDK9,targeting,-0.29249780525208596,0.07703560056783507,1.0450370060731997,0.27652493379631626,0.07703560056783507,182.1984444857769,5817.0,-3.549595034001873,-4.2301098012142875,-1.7385050194467448,-3.172736618220968,-3.549595034001873,-2.1969535799774307,-3.936286668749802,-1.1415888375922554,-2.424943028773163,-2.1969535799774307,0.4941340287010735,0.4941340287010735,0.4941340287010735,0.34933262686577093,0.8806174506971706,0.5382106776555708,0.8596720337189919,0.4662558094131508,0.9999939522601892,0.48935106489351077,0.9014361721722568
gRNA_CDK9_targ_1140,CDK9,targeting,-0.4353720263911952,0.8624277640583716,0.22208711700026967,0.21638095155581535,0.22208711700026967,176.88468507203288,4662.0,-5.297457749123036,-5.591845255007017,-2.7751148963698316,-4.554805966833295,-5.297457749123036,-3.0725430999388728,-0.17093230934835155,-5.257589105756925,-2.833688171681383,-3.0725430999388728,0.3263005962817146,0.3263005962817146,0.3263005962817146,0.4001171603853598,0.9202175610618977,0.09824285600670782,0.957498611048063,0.17767063597891408,0.920549975024661,0.40045995400459955,0.8429110828315781
gRNA_CDK9_targ_1141,CDK9,targeting,-0.11078111512873011,0.6257161915304993,0.3231246453522663,0.27935324058467853,0.3231246453522663,273.28398554083395,8360.0,-3.6907417272391325,-5.017593843887397,-1.0528516216435806,-3.253729064256703,-3.6907417272391325,-3.1145119912517307,-3.3968095743482416,-2.7800314701943774,-3.0971176785981167,-3.1145119912517307,0.32842465659758063,0.32842465659758063,0.32842465659758063,0.41973846721233826,0.924288617517664,0.3891261994714804,0.7808994756236557,0.30615965280158947,0.9999939522601892,0.40045995400459955,0.8429110828315781
gRNA_CDK9_targ_1142,CDK9,targeting,-0.03702936682228135,-0.08305229955519017,-0.018998734619950462,-0.046360133665807324,-0.03702936682228135,315.4302589761435,10617.0,-5.454265552451288,-3.592956000264725,-1.0052475912291843,-3.3508230479817325,-3.592956000264725,-2.383305967662475,-1.818057308166792,-2.545929781754328,-2.2490976858611984,-2.383305967662475,-0.08826279960152135,-0.08826279960152135,-0.08826279960152135,0.5445057480067603,0.9999999640647834,0.30786453928993973,0.7808994756236557,0.5636038414109243,0.9999939522601892,0.11068893110688931,0.35931127458003304
gRNA_CDK9_targ_1143,CDK9,targeting,-0.22679932556233165,1.4862704549917634,-0.031163112276578676,0.4094360057176176,-0.031163112276578676,252.6314543988832,6320.0,-4.728645630558328,-2.631639575481277,-0.10294755252813609,-2.487744252855914,-2.631639575481277,-3.6141116629995693,-2.4442080306986878,-5.616048907433148,-3.891456200377135,-3.6141116629995693,0.23280203951655454,0.23280203951655454,0.23280203951655454,0.2639498333464833,0.7922169355768122,0.1726617878720069,0.6218557795390222,0.04420752057501818,0.7528807838736883,0.338866113388661,0.7696376784950454
gRNA_CDK9_targ_1144,CDK9,targeting,-0.35612086285193006,0.6339078975034441,0.45309331997621305,0.24362678487590905,0.45309331997621305,166.60245648890958,4813.0,-3.80585410718034,-3.7166058827263857,-0.6121076414066792,-2.7115225437711348,-3.7166058827263857,-3.6311389900995716,-2.2559624086563765,-5.018358527616819,-3.6351533087909225,-3.6311389900995716,1.1027843442844991,1.1027843442844991,1.1027843442844991,0.4191515866336578,0.924288617517664,0.2606144096070744,0.7001593587480852,0.11593387411361959,0.869504055852147,0.2675732426757324,0.9462110783740278
gRNA_CDK9_targ_1145,CDK9,targeting,-2.1321026091824473,0.4611730145662246,1.114299228684781,-0.18554345531048053,0.4611730145662246,161.4803130987928,4256.0,-5.6305522098364325,-5.487368294357577,-3.8476426573754976,-4.988521053856502,-5.487368294357577,-1.6853782641273152,-2.8019033155531963,-4.450597501440315,-2.9792930270402755,-2.8019033155531963,0.20007304299193718,0.20007304299193718,0.20007304299193718,0.11518046468195238,0.8300206183306054,0.04386298079320008,0.9931318046989046,0.2980960770483477,0.9999939522601892,0.3073692630736927,0.7111170238908314
gRNA_CDK9_targ_1146,CDK9,targeting,-0.9002972445550167,0.7913579366402719,1.3912987281756248,0.42745314008695995,0.7913579366402719,86.24171796841073,2273.0,-3.5412635070643472,-2.4113572049600167,-3.896147269394063,-3.2829226604728095,-3.5412635070643472,-3.5669212952947422,-5.0436600007204255,-4.99379089172692,-4.534790729247362,-4.99379089172692,1.8137259799863394,1.8137259799863394,1.8137259799863394,0.15818752267346065,0.6389366596680016,0.5300169390773115,0.9044101975551668,0.031036220117897636,0.6764383704558515,0.11448855114488549,0.8682048461820483
