Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_SPERMATOGENESIS,0.3097556044759209,1.1217006649386414,0.2978723404255319,0.4669950738916256,0.98,22/70,25.70%,TLE4;SLC12A2;MTNR1A;OAZ3;RAD17;HSPA1L;PHF7;RPL39L;CLGN;IFT88;SPATA6;TNNI3;ARL4A;CDK1;HSPA4L;ZC3H14;TTK;PGS1;AGFG1;AURKA;CNIH2;CCT6B
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.3127799551662484,1.1161719172999598,0.29411764705882354,0.442528735632184,0.99,21/71,16.00%,CLU;MAL2;GNAI1;ERRFI1;SCD;CXCL16;LDLR;ANTXR2;TM7SF2;CD9;NFIL3;SREBF2;ALDOC;NIBAN1;SQLE;STARD4;TMEM97;FDPS;ACAT2;FDFT1;DHCR7
prerank,HALLMARK_IL2_STAT5_SIGNALING,-0.28242563517612135,-1.113965416620345,0.19047619047619047,0.33400673400673403,1.0,20/149,6.27%,ADAM19;AHNAK;GLIPR2;TGM2;ANXA4;IL4R;ITIH5;SCN9A;BHLHE40;CAPG;GADD45B;MAPKAPK2;COL6A1;ITGAV;FURIN;NDRG1;SOCS2;CISH;MYO1E;IGF1R
prerank,HALLMARK_FATTY_ACID_METABOLISM,0.27126851405443986,1.1063260155401486,0.3,0.4351648351648351,0.99,32/133,20.20%,ALDH3A1;DHCR24;CPT2;ALDH3A2;GLUL;CYP1A1;GSTZ1;BMPR1B;HMGCL;UROS;TDO2;CBR1;REEP6;ODC1;BLVRA;HADH;ACADM;ACSM3;ME1;CBR3;CPT1A;RDH11;PTS;YWHAH;ACAT2;MAOA;ACOT2;DECR1;DLD;GRHPR;HIBCH;BCKDHB
prerank,HALLMARK_PROTEIN_SECRETION,0.2738641026445654,1.0965523132514503,0.2926829268292683,0.42807881773399015,1.0,26/94,24.84%,LMAN1;PAM;PPT1;GLA;SSPN;ICA1;CTSC;SCRN1;GALC;CLN5;SCAMP3;RAB22A;TMX1;TMED10;VAMP7;USO1;M6PR;STAM;TSG101;ANP32E;YIPF6;COG2;VAMP4;VPS4B;BET1;RAB14
prerank,HALLMARK_BILE_ACID_METABOLISM,0.28566200965365707,1.08833558930729,0.2391304347826087,0.4226600985221675,1.0,26/79,22.40%,DHCR24;ABCA8;FDXR;SLCO1A2;PHYH;EPHX2;SCP2;GCLM;PEX12;PEX11A;SLC29A1;PEX7;SLC23A2;LIPE;ABCA5;ATXN1;PEX1;SLC27A5;FADS1;SLC35B2;DIO2;PEX11G;ABCA3;ABCA2;GNPAT;PFKM
prerank,HALLMARK_GLYCOLYSIS,-0.26660380057262106,-1.0866148811481284,0.2786885245901639,0.3685338230792776,1.0,18/178,8.07%,COL5A1;VCAN;VLDLR;TGFBI;IGFBP3;GAL3ST1;ANKZF1;PKP2;EGFR;CYB5A;AK4;LDHA;B4GALT1;VEGFA;ANG;STC1;PGK1;STC2
prerank,HALLMARK_APOPTOSIS,-0.2845620593198765,-1.0739949688168056,0.2777777777777778,0.37956375347679694,1.0,25/132,13.08%,ERBB3;BCL2L11;F2;SMAD7;H1-0;SPTAN1;TIMP3;TIMP2;BNIP3L;GADD45B;PEA15;CFLAR;JUN;HSPB1;CTNNB1;CAV1;NEDD9;IL6;LGALS3;IGFBP6;PDCD4;CYLD;RARA;RETSAT;KRT18
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.2938545305765895,-1.0370415721274446,0.3548387096774194,0.44270482603815936,1.0,30/76,23.47%,IL4R;PARP12;SP110;IRF7;TRIM26;STAT2;IFIH1;SAMD9L;SAMD9;ELF1;TMEM140;B2M;PARP9;TRAFD1;ISG15;IRF9;TRIM25;OGFR;UBE2L6;OASL;HLA-C;CNP;CMTR1;PSMB8;MOV10;PARP14;DDX60;C1S;IFITM2;TDRD7
prerank,HALLMARK_DNA_REPAIR,0.2346566066575625,0.9857059845528564,0.5853658536585366,0.6766625615763546,1.0,37/148,22.65%,TK2;SNAPC5;PDE4B;CSTF3;XPC;POLH;NUDT9;AK3;RPA2;NME3;TYMS;GMPR2;GPX4;ZWINT;SURF1;REV3L;MRPL40;PCNA;POLR2G;DDB2;NPR2;POLA2;DGUOK;POLR2H;TAF12;TSG101;UMPS;GTF2F1;PNP;SAC3D1;NME1;DUT;PRIM1;RRM2B;ARL6IP1;POLR3C;POLR1H
prerank,HALLMARK_ALLOGRAFT_REJECTION,-0.270050663533413,-0.9706125588911753,0.5161290322580645,0.5743299663299664,1.0,16/105,11.00%,IL11;F2;IL4R;CAPG;EGFR;ELF4;BCAT1;IRF7;TGFB1;FLNA;B2M;APBB1;HIF1A;GALNT1;BCL3;IL6
prerank,HALLMARK_HEME_METABOLISM,-0.24255073821289336,-0.9483857439375718,0.5806451612903226,0.6019166019166019,1.0,22/160,11.43%,TNS1;RNF19A;H1-0;BNIP3L;PDZK1IP1;MBOAT2;SPTB;IGSF3;OPTN;DMTN;UCP2;TSPAN5;MGST3;ADD2;KDM7A;BMP2K;SEC14L1;C3;SLC22A4;YPEL5;P4HA2;SLC2A1
prerank,HALLMARK_ADIPOGENESIS,0.21328164192728552,0.9053355005436694,0.7419354838709677,0.86890756302521,1.0,36/181,16.21%,ANGPTL4;CAVIN2;STOM;TOB1;CPT2;BCL6;PHYH;SLC66A3;FAH;SSPN;EPHX2;SCP2;CMBL;NDUFAB1;ANGPT1;BCL2L13;CD302;REEP6;GPX4;HADH;ACADM;JAGN1;DNAJB9;DHRS7B;ME1;TST;SLC19A1;IDH3A;SOWAHC;LIPE;ARL4A;G3BP2;PIM3;DHCR7;CDKN2C;COQ9
prerank,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.30029777677936564,-0.8897700072844277,0.6739130434782609,0.7144032921810699,1.0,9/33,15.88%,JAG1;TCF7;NCOR2;CTNNB1;HDAC5;NOTCH1;NKD1;MAML1;HDAC11
prerank,HALLMARK_MYC_TARGETS_V2,0.24561302566568016,0.8842451325452055,0.5853658536585366,0.8808429118773946,1.0,29/57,44.74%,SLC29A2;SORD;SLC19A1;TMEM97;RABEPK;SUPV3L1;PA2G4;NIP7;PRMT3;MYC;NDUFAF4;NOLC1;PLK1;NOP16;PHB1;CBX3;MRTO4;TFB2M;MPHOSPH10;RCL1;BYSL;SRM;NOP2;HK2;FARSA;GRWD1;LAS1L;TBRG4;GNL3
prerank,HALLMARK_PEROXISOME,0.2011507470724257,0.797725273013259,0.8571428571428571,1.0,1.0,18/91,17.01%,DHCR24;DLG4;EPHX2;SCP2;PEX11A;CRABP2;HMGCL;SLC23A2;SLC25A17;PEX11B;STS;RDH11;ATXN1;FDPS;YWHAH;SIAH1;FADS1;SLC35B2
prerank,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.20032983648940317,0.7735147586957652,1.0,1.0,1.0,23/112,20.16%,SLC1A4;SPCS3;SLC30A5;CCL2;SRPRA;TSPYL2;SHC1;XBP1;LSM4;HYOU1;SRPRB;DNAJB9;CKS1B;YIF1A;WFS1;PARN;GEMIN4;EXOSC1;ERN1;MTHFD2;KIF5B;BAG3;NHP2
prerank,HALLMARK_G2M_CHECKPOINT,0.17946587653226823,0.7716157577139462,0.967741935483871,0.9640159512080694,1.0,41/197,22.06%,SLC12A2;HOXC10;EGF;PRC1;UBE2C;RPA2;CDC25B;MAD2L1;BIRC5;ODC1;PBK;YTHDC1;CKS1B;ORC5;H2BC12;LIG3;HMGN2;SQLE;CDC7;EFNA5;EXO1;KIF15;HMMR;CDKN2C;POLA2;CDK1;MNAT1;CKS2;SS18;MEIS2;KIF23;NUP50;KIF5B;KIF4A;NUSAP1;RACGAP1;HMGB3;NDC80;CDC45;FANCC;TTK
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.21207359061916023,-0.7333015890748436,0.9180327868852459,0.9501683501683502,1.0,20/90,20.04%,NOD1;EGFR;STAT2;PDK1;RALB;GSK3B;AP2M1;ACTR3;MKNK1;SLC2A1;MAP2K6;TSC2;MYD88;MKNK2;PPP1CA;TIAM1;CDKN1B;PLCG1;TRIB3;ATF1
prerank,HALLMARK_MYC_TARGETS_V1,0.11611912842226993,0.5045058744400515,1.0,0.9985221674876847,1.0,77/200,42.23%,NDUFAB1;PSMD7;MAD2L1;C1QBP;TYMS;ODC1;MRPS18B;ACP1;PCNA;TXNL4A;UBE2E1;HDAC2;PSMD14;NME1;DUT;NHP2;PTGES3;RRM1;PSMA6;CDC45;PSMA1;STARD7;PA2G4;HSP90AB1;CCNA2;MYC;CCT7;GLO1;PCBP1;EIF2S2;HDDC2;PRPS2;NOLC1;PRDX4;GOT2;RPL22;KARS1;ERH;SET;IARS1;POLD2;CNBP;NOP16;USP1;POLE3;PHB1;PRDX3;CBX3;SSB;ETF1;SNRPD3;CCT4;CYC1;NCBP2;RSL1D1;DEK;MCM7;PSMC4;PSMB2;XPO1;TOMM70;PSMC6;EPRS1;TUFM;RPS10;EIF2S1;SRM;DDX21;VBP1;PSMA4;BUB3;RNPS1;TCP1;RAD23B;CUL1;IFRD1;UBA2
