Cell Line,Drug,gRNA_number,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549-CBE,Senexin B,13,500,0.8922,0.8039,
A549-CBE,Senexin B,13,500,0.9115,0.8195,
A549-CBE,Senexin B,13,500,0.9127,0.8234,
A549-CBE,Senexin B,13,1000,0.8895,0.8019,
A549-CBE,Senexin B,13,1000,0.933,0.8434,
A549-CBE,Senexin B,13,1000,0.9078,0.8166,
A549-CBE,Senexin B,13,2000,0.8447,0.7578,
A549-CBE,Senexin B,13,2000,0.908,0.8164,
A549-CBE,Senexin B,13,2000,0.8222,0.735,
A549-CBE,Senexin B,13,4000,0.6951,0.6162,
A549-CBE,Senexin B,13,4000,0.6901,0.6124,
A549-CBE,Senexin B,13,4000,0.7042,0.6272,
A549-CBE,Senexin B,13,8000,0.521,0.4514,
A549-CBE,Senexin B,13,8000,0.5172,0.4498,
A549-CBE,Senexin B,13,8000,0.5694,0.5001,
A549-CBE,Senexin B,13,10000,0.5019,0.4347,
A549-CBE,Senexin B,13,10000,0.5167,0.4501,
A549-CBE,Senexin B,13,10000,0.5167,0.4472,
A549-CBE,Senexin B,16,0,1.2938,1.1808,
A549-CBE,Senexin B,16,0,1.1751,1.0679,
A549-CBE,Senexin B,16,0,1.177,1.0706,
A549-CBE,Senexin B,16,100,1.0561,0.9567,
A549-CBE,Senexin B,16,100,1.0006,0.9037,
A549-CBE,Senexin B,16,100,0.9825,0.8876,
A549-CBE,Senexin B,16,500,0.8192,0.7323,
A549-CBE,Senexin B,16,500,0.8632,0.7753,
A549-CBE,Senexin B,16,500,0.9302,0.8371,
A549-CBE,Senexin B,16,1000,0.8907,0.8004,
A549-CBE,Senexin B,16,1000,0.9547,0.8617,
A549-CBE,Senexin B,16,1000,0.88,0.7911,
A549-CBE,Senexin B,16,2000,0.9215,0.8287,
A549-CBE,Senexin B,16,2000,0.8566,0.7695,
A549-CBE,Senexin B,16,2000,0.8496,0.7625,
A549-CBE,Senexin B,16,4000,0.698,0.6188,
A549-CBE,Senexin B,16,4000,0.6913,0.6142,
A549-CBE,Senexin B,16,4000,0.6909,0.6108,
A549-CBE,Senexin B,16,8000,0.5179,0.45,
A549-CBE,Senexin B,16,8000,0.5444,0.475,
A549-CBE,Senexin B,16,8000,0.5714,0.5007,
A549-CBE,Senexin B,16,10000,0.4926,0.4263,
A549-CBE,Senexin B,16,10000,0.4833,0.4176,
A549-CBE,Senexin B,16,10000,0.5024,0.4359,
A549-CBE,Senexin B,17,0,1.2267,1.1173,
A549-CBE,Senexin B,17,0,1.2032,1.095,
A549-CBE,Senexin B,17,0,1.2249,1.1154,
A549-CBE,Senexin B,17,100,1.1269,1.0222,
A549-CBE,Senexin B,17,100,1.0971,0.9935,
A549-CBE,Senexin B,17,100,1.1219,1.0198,
A549-CBE,Senexin B,17,500,0.8572,0.7672,
A549-CBE,Senexin B,17,500,0.8668,0.7762,
A549-CBE,Senexin B,17,500,0.856,0.7674,
A549-CBE,Senexin B,17,1000,0.8337,0.7473,
A549-CBE,Senexin B,17,1000,0.8591,0.7703,
A549-CBE,Senexin B,17,1000,0.8184,0.735,
A549-CBE,Senexin B,17,2000,0.8282,0.741,
A549-CBE,Senexin B,17,2000,0.7284,0.6479,
A549-CBE,Senexin B,17,2000,0.7133,0.6351,
A549-CBE,Senexin B,17,4000,0.6233,0.5492,
A549-CBE,Senexin B,17,4000,0.5992,0.5253,
A549-CBE,Senexin B,17,4000,0.6155,0.5413,
A549-CBE,Senexin B,17,8000,0.4321,0.3693,
A549-CBE,Senexin B,17,8000,0.44,0.3789,
A549-CBE,Senexin B,17,8000,0.4528,0.3862,
A549-CBE,Senexin B,17,10000,0.4193,0.3571,
A549-CBE,Senexin B,17,10000,0.3877,0.3264,
A549-CBE,Senexin B,17,10000,0.4105,0.3512,
