gRNA_id,Gene,classification,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,base_RPM,base_RAW,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK9_targ_1591,CDK9,targeting,-6.913526286446945,-3.569437526050154,-1.6055124058748225,-4.0294920727906405,-3.569437526050154,237.88005480221705,8185.0,-1.3216559347448833,-5.671427856651228,-5.258597187209061,-4.0838936595350575,-5.258597187209061,-0.5592758059489282,-0.48352801617734714,-1.196949988501323,-0.7465846035425328,-0.5592758059489282,-0.4544812076976339,-0.4544812076976339,-0.4544812076976339,0.07127639124517442,0.5360455870504853,0.05451205943642986,0.37249061185860105,0.1594535621776421,0.7159954443034203,0.015298470152984698,0.09118957099923194
gRNA_CDK9_targ_1592,CDK9,targeting,-6.188008021412756,-5.033130463698011,-2.782537681873456,-4.667892055661408,-5.033130463698011,460.38582139546975,12804.0,-2.896140019225449,-5.516965610376393,-4.268022230967627,-4.227042620189823,-4.268022230967627,0.21343457582542952,0.9097815342378294,-0.8882225412163898,0.07833118961562306,0.21343457582542952,-0.8860452014461405,-0.8860452014461405,-0.8860452014461405,0.07706692287707026,0.5541117257753362,0.0744319841634502,0.424373758070087,0.43841024569095255,0.876108883695192,0.007399260073992597,0.06644730263815721
gRNA_CDK9_targ_1593,CDK9,targeting,-2.037331694493258,2.314238231339951,0.37511547420367225,0.2173406703501218,0.37511547420367225,401.4050268660275,10653.0,-2.2862282250636476,1.9377705355815809,-2.734908883373825,-1.0277888576186307,-2.2862282250636476,-0.03685689336841608,0.5003056682793389,0.1313628148425204,0.19827052991781438,0.1313628148425204,-0.22099518703481433,-0.22099518703481433,-0.22099518703481433,0.0030891498466815302,0.31234737338668805,0.1116320339846251,0.782465006390562,0.5211174181922107,0.948612445931033,0.07659234076592339,0.276949788464862
gRNA_CDK9_targ_1594,CDK9,targeting,-3.789357719482992,-1.7229297714416927,-2.7570872685230268,-2.756458253149237,-2.7570872685230268,310.4211197730581,10681.0,-2.4235445000939078,-4.305566811618216,0.7785534205814146,-1.9835192970435698,-2.4235445000939078,0.712746900087187,0.6176612616813202,-0.06711346492027477,0.4210982322827442,0.6176612616813202,-0.08685327085007692,-0.08685327085007692,-0.08685327085007692,0.551256511065721,0.8542998492154674,0.24405551549886295,0.9215374236679057,0.29035712190161705,0.9869173671733509,0.1444855514448555,0.36726774249949307
gRNA_CDK9_targ_1595,CDK9,targeting,-5.49682068156881,-3.9961090719540735,-1.2488093176267543,-3.5805796903832126,-3.9961090719540735,281.5906965154161,9689.0,-0.7363994930059962,-1.2873934184863258,-0.5468697092897501,-0.8568875402606907,-0.7363994930059962,-1.269598659074524,-3.156596319775269,0.30068683270967667,-1.3751693820467052,-1.269598659074524,-0.20201046941554443,-0.20201046941554443,-0.20201046941554443,0.2635336941772046,0.7607605197075533,0.11296096909582388,0.782465006390562,0.03696961202515089,0.5519289523494859,0.07659234076592339,0.276949788464862
gRNA_CDK9_targ_1596,CDK9,targeting,-2.81409861358543,-4.337071837421971,-0.7866091610662951,-2.6459265373578984,-2.81409861358543,218.54399284924057,7108.0,-3.067209575955465,-0.9433578123859292,-2.3128878277406777,-2.1078184053606908,-2.3128878277406777,0.25090047561710066,0.0022830878234320626,0.2161197575932013,0.156434440344578,0.2161197575932013,0.13943215797608854,0.13943215797608854,0.13943215797608854,0.33699092638817013,0.8526926164191814,0.5035071117927357,0.9760903481668807,0.5811691200698836,0.9450554038018796,0.23917608239176077,0.4942851664871362
gRNA_CDK9_targ_1597,CDK9,targeting,-6.84033779936567,-2.94402817228416,-1.251539808729542,-3.678635260126457,-2.94402817228416,499.2144729813481,13451.0,-5.521835984412409,-2.5577955980248666,-2.9488503664869468,-3.676160649641408,-2.9488503664869468,-0.43019466314745886,-0.1437285116774105,-0.7664550089201533,-0.4467927279150075,-0.43019466314745886,-0.6026248241655163,-0.6026248241655163,-0.6026248241655163,0.09698199144147815,0.6114568975409592,0.13548033024466402,0.5603959114665649,0.2695221914678821,0.7827612581992746,0.015298470152984698,0.09118957099923194
gRNA_CDK9_targ_1598,CDK9,targeting,-3.2376323315519064,-0.9662598022396547,-0.9301732557070567,-1.7113551298328724,-0.9662598022396547,83.15975727901274,2207.0,-0.022285896039644756,-1.7341383607513086,-0.8946089330107323,-0.8836777299338952,-0.8946089330107323,1.4528941520980445,0.5344696364843523,0.6001057873019583,0.8624898586281184,0.6001057873019583,0.08742065329727013,0.08742065329727013,0.08742065329727013,0.15382255006442702,0.9336212293685501,0.11724693221334521,0.7845199140745893,0.05350189028693522,0.7982710828698724,0.1798820117988201,0.39957517673781845
gRNA_CDK9_targ_1599,CDK9,targeting,-5.275825732686147,-4.6137448703589525,-3.509830667158731,-4.466467090067943,-4.6137448703589525,477.7628362715705,12873.0,-2.2545939160336252,-5.181138776811218,-4.763743729545901,-4.066492140796915,-4.763743729545901,-0.5150012828115541,-0.5293492667202326,-0.5741754946592474,-0.5395086813970115,-0.5293492667202326,-0.8742110192651066,-0.8742110192651066,-0.8742110192651066,0.16008765126577756,0.6777845242611424,0.09281351285045057,0.46491906437014685,0.24608678920594768,0.7686928668647097,0.007399260073992597,0.06644730263815721
gRNA_CDK9_targ_1600,CDK9,targeting,-2.9024818446451106,-2.621694746771608,-0.35264242166659604,-1.9589396710277718,-2.621694746771608,231.3659225756988,6234.0,-0.44077485229107316,-0.6795204672639777,-0.36789389402260225,-0.49606307119255105,-0.44077485229107316,1.2997733401065636,0.2779048950518877,-0.16724615968345402,0.4701440251583324,0.2779048950518877,0.12526071996352361,0.12526071996352361,0.12526071996352361,0.18220213352228662,0.9153911887491594,0.05341333189361486,0.6827977662328413,0.16605110267635415,0.9770589646987718,0.2176782321767823,0.458181629793844
