Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,17.26384365,82.73615635,602,602,307,53,254,0,0,0,254,0,0,254,0,0,0,0,gRNA_CDK7_targ_33_55
HDR,0.0,100.0,602,602,5,0,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_33_55
Reference,74.76979742,25.23020258,544,544,543,406,137,0,0,0,137,0,0,137,0,0,0,0,gRNA_CDK7_targ_34_56
HDR,,,544,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_56
Reference,76.45951036,23.54048964,544,544,531,406,125,0,0,0,125,0,0,125,0,0,0,0,gRNA_CDK7_targ_34_57
HDR,100.0,0.0,544,544,9,9,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_57
Reference,75.88785047,24.11214953,544,544,535,406,129,0,0,0,129,0,0,129,0,0,0,0,gRNA_CDK7_targ_34_58
HDR,,,544,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_58
Reference,0.0,100.0,123,123,66,0,66,0,0,0,66,0,0,66,0,0,0,0,gRNA_CDK7_targ_36_59
HDR,91.07142857,8.92857143,123,123,56,51,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_36_59
Reference,100.0,0.0,64,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_37_60
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_60
Reference,1.61290323,98.38709677,64,64,62,1,61,0,0,0,61,0,0,61,0,0,0,0,gRNA_CDK7_targ_37_61
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_61
Reference,1.58730159,98.41269841,64,64,63,1,62,0,0,0,62,0,0,62,0,0,0,0,gRNA_CDK7_targ_37_62
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_62
Reference,1.61290323,98.38709677,64,64,62,1,61,0,0,0,61,0,0,61,0,0,0,0,gRNA_CDK7_targ_37_63
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_63
Reference,1.58730159,98.41269841,64,64,63,1,62,0,0,0,62,0,0,62,0,0,0,0,gRNA_CDK7_targ_37_64
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_64
Reference,1.58730159,98.41269841,64,64,63,1,62,0,0,0,62,0,0,62,0,0,0,0,gRNA_CDK7_targ_37_65
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_37_65
Reference,1.58730159,98.41269841,64,64,63,1,62,0,0,0,62,0,0,62,0,0,0,0,gRNA_CDK7_targ_37_66
HDR,100.0,0.0,64,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_37_66
Reference,100.0,0.0,994,994,3,3,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_39_67
HDR,28.67570386,71.32429614,994,994,959,275,684,0,0,1,683,0,1,683,0,0,0,0,gRNA_CDK7_targ_39_67
Reference,100.0,0.0,474,474,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_40_68
HDR,66.58227848,33.41772152,474,474,395,263,132,0,0,1,131,0,1,131,0,0,0,0,gRNA_CDK7_targ_40_68
Reference,70.63492063,29.36507937,437,437,378,267,111,0,0,1,110,0,1,110,0,0,0,0,gRNA_CDK7_targ_41_69
HDR,98.30508475,1.69491525,437,437,59,58,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_41_69
Reference,6.96576151,93.03423849,854,854,847,59,788,0,0,0,788,0,0,788,0,0,0,0,gRNA_CDK7_targ_42_70
HDR,33.33333333,66.66666667,854,854,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_42_70
Reference,100.0,0.0,237,237,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_43_71
HDR,91.94312796,8.05687204,237,237,211,194,17,0,0,0,17,0,0,17,0,0,0,0,gRNA_CDK7_targ_43_71
Reference,94.87179487,5.12820513,225,225,156,148,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_CDK7_targ_44_72
HDR,32.35294118,67.64705882,225,225,68,22,46,0,0,0,46,0,0,46,0,0,0,0,gRNA_CDK7_targ_44_72
Reference,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_54_73
HDR,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_54_73
Reference,99.32432432,0.67567568,508,508,148,147,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_55_74
HDR,34.54038997,65.45961003,508,508,359,124,235,0,0,0,235,0,0,235,0,0,0,0,gRNA_CDK7_targ_55_74
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_75
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_75
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_76
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_76
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_77
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_77
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_78
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_78
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_79
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_79
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_80
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_80
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_81
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_56_81
Reference,91.42857143,8.57142857,105,105,35,32,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_57_82
HDR,12.76595745,87.23404255,105,105,47,6,41,0,0,0,41,0,0,41,0,0,0,0,gRNA_CDK7_targ_57_82
Reference,46.37681159,53.62318841,105,105,69,32,37,0,0,0,37,0,0,37,0,0,0,0,gRNA_CDK7_targ_57_83
HDR,0.0,100.0,105,105,13,0,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_CDK7_targ_57_83
Reference,55.17241379,44.82758621,105,105,58,32,26,0,0,23,4,0,22,3,0,0,1,0,gRNA_CDK7_targ_57_84
HDR,100.0,0.0,105,105,13,13,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_57_84
Reference,88.13559322,11.86440678,314,314,59,52,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_CDK7_targ_58_85
HDR,95.68627451,4.31372549,314,314,255,244,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_CDK7_targ_58_85
Reference,4.54545455,95.45454545,116,116,110,5,105,0,0,0,105,0,0,105,0,0,0,0,gRNA_CDK7_targ_60_86
HDR,100.0,0.0,116,116,6,6,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_60_86
Reference,5.95238095,94.04761905,116,116,84,5,79,0,0,0,79,0,0,79,0,0,0,0,gRNA_CDK7_targ_60_87
HDR,96.2962963,3.7037037,116,116,27,26,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_60_87
Reference,6.02409639,93.97590361,116,116,83,5,78,0,0,0,78,0,0,78,0,0,0,0,gRNA_CDK7_targ_60_88
HDR,,,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_60_88
Reference,96.19047619,3.80952381,218,218,210,202,8,0,0,1,7,0,1,7,0,0,0,0,gRNA_CDK7_targ_61_89
HDR,0.0,100.0,218,218,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_CDK7_targ_61_89
Reference,96.6507177,3.3492823,218,218,209,202,7,0,0,1,6,0,1,6,0,0,0,0,gRNA_CDK7_targ_61_90
HDR,0.0,100.0,218,218,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_CDK7_targ_61_90
Reference,96.19047619,3.80952381,218,218,210,202,8,0,0,1,7,0,1,7,0,0,0,0,gRNA_CDK7_targ_61_91
HDR,100.0,0.0,218,218,8,8,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_61_91
Reference,100.0,0.0,38,38,33,33,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_62_92
HDR,100.0,0.0,38,38,4,4,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_62_92
Reference,100.0,0.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_63_93
HDR,100.0,0.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_63_93
Reference,95.58823529,4.41176471,68,68,68,65,3,0,2,0,1,2,0,1,0,0,0,0,gRNA_CDK7_targ_65_94
HDR,,,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_65_94
